Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,22,1996,1.7,2,1.15,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,33,1986,18.8,11,0.59,10,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
3,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,29,1990,7.4,10,1.36,8,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Tyler Adams\Tyler-Adams,us USA,DFMF,RB Leipzig,20,1999,10.6,18,1.70,14,1,0,2,1,2,0.19,1,0,0,0,1,0,Matches
5,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,26,1993,8.3,20,2.41,16,0,1,1,2,4,0.48,3,0,0,0,1,0,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,24,1995,25.7,10,0.39,9,1,0,0,0,3,0.12,3,0,0,0,0,0,Matches
7,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,24,1995,12.7,4,0.32,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,27,1992,27.8,38,1.37,33,2,1,2,0,2,0.07,1,1,0,0,0,0,Matches
9,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,26,1992,13.0,30,2.30,21,0,2,7,0,3,0.23,1,0,0,2,0,0,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,25,1993,5.9,14,2.38,10,1,2,0,1,3,0.51,2,1,0,0,0,0,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,28,1991,19.7,56,2.85,44,5,3,3,1,8,0.41,6,0,2,0,0,0,Matches
