,goals_against,round,xg_against,goals_for,xg_for
0,0,Matchweek 1,0.5,1,0.9
1,1,Matchweek 2,1.3,2,1.0
2,3,Matchweek 3,2.3,1,1.0
3,2,Matchweek 4,2.0,2,2.6
4,2,Matchweek 5,2.6,2,1.0
5,0,Group stage,1.8,3,3.4
6,2,Matchweek 6,1.2,3,2.3
7,0,Third round,,5,
8,1,Matchweek 7,1.1,1,1.6
9,0,Group stage,0.5,4,3.8
10,0,Matchweek 8,0.5,1,1.0
11,1,Matchweek 9,0.9,0,0.8
12,2,Group stage,1.2,3,2.1
13,2,Matchweek 10,1.7,2,1.7
14,5 (5),Fourth round,,5 (4),
15,1,Matchweek 11,1.5,1,1.0
16,1,Group stage,1.0,1,0.5
17,2,Matchweek 12,1.7,0,0.8
18,2,Matchweek 13,2.6,2,1.8
19,2,Group stage,0.7,1,1.7
20,2,Matchweek 14,1.4,2,2.0
21,2,Matchweek 15,2.2,1,1.1
22,1,Matchweek 16,0.6,3,1.7
23,2,Group stage,0.6,2,1.4
24,3,Matchweek 17,1.8,0,0.4
25,0,Matchweek 18,0.4,0,0.9
26,1,Matchweek 19,1.0,1,1.7
27,2,Matchweek 20,1.7,1,0.9
28,0,Matchweek 21,0.9,2,1.4
29,0,Third round,,1,
30,1,Matchweek 22,0.4,1,1.3
31,1,Matchweek 23,0.9,1,1.3
32,2,Matchweek 24,2.9,2,0.5
33,1,Fourth round,,2,
34,0,Matchweek 25,1.9,0,1.1
35,0,Matchweek 26,0.9,4,2.0
36,0,Round of 32,0.4,1,1.5
37,2,Matchweek 27,2.0,3,1.3
38,2,Round of 32,1.1,1,2.2
39,0,Fifth round,,2,
40,0,Matchweek 29,1.8,1,1.3
41,3,Matchweek 28,3.6,0,0.2
42,2,Matchweek 30,0.9,1,1.3
43,0,Matchweek 31,0.8,2,2.7
44,1,Quarter-finals,,2,
45,0,Matchweek 32,0.3,4,1.9
46,0,Matchweek 33,1.0,2,1.2
47,1,Matchweek 34,1.5,1,1.7
48,,Matchweek 35,,,
49,,Matchweek 36,,,
50,,Semi-finals,,,
51,,Matchweek 37,,,
52,,Matchweek 38,,,
