,position,dribbles_vs,pressures,pressure_regains,player,pressure_regain_pct,dribble_tackles_pct,age,minutes_90s,nationality,dribble_tackles
0,GK,3,1,0,Bernd Leno,0.0,0.0,27,29.4,de GER,0
1,FW,41,486,111,Pierre-Emerick Aubameyang,22.8,24.4,30,28.6,ga GAB,10
2,DF,23,162,58,David Luiz,35.8,43.5,32,24.6,br BRA,10
3,MF,46,338,97,Granit Xhaka,28.7,37.0,26,22.2,ch SUI,17
4,MF,36,384,109,Mattéo Guendouzi,28.4,27.8,20,19.4,fr FRA,10
5,FW,20,324,79,Nicolas Pépé,24.4,45.0,24,19.3,ci CIV,9
6,DF,25,181,51,Sokratis Papastathopoulos,28.2,44.0,31,18.8,gr GRE,11
7,MF,19,305,63,Mesut Özil,20.7,10.5,30,16.0,de GER,2
8,FW,11,367,89,Alexandre Lacazette,24.3,27.3,28,15.9,fr FRA,3
9,"DF,FW",31,237,69,Bukayo Saka,29.1,38.7,17,16.0,eng ENG,12
10,MF,34,373,95,Lucas Torreira,25.5,35.3,23,15.3,uy URU,12
11,DF,37,271,75,Ainsley Maitland-Niles,27.7,35.1,21,13.8,eng ENG,13
12,DF,19,162,42,Sead Kolašinac,25.9,47.4,26,13.5,ba BIH,9
13,DF,12,143,51,Calum Chambers,35.7,75.0,24,12.2,eng ENG,9
14,MF,45,325,84,Dani Ceballos,25.8,26.7,22,12.8,es ESP,12
15,DF,26,141,36,Héctor Bellerín,25.5,26.9,24,9.9,es ESP,7
16,DF,6,61,20,Shkodran Mustafi,32.8,0.0,27,9.9,de GER,0
17,MF,16,199,56,Joe Willock,28.1,18.8,19,7.6,eng ENG,3
18,FW,17,247,69,Martinelli,27.9,35.3,18,7.4,br BRA,6
19,DF,7,69,22,Kieran Tierney,31.9,71.4,22,5.1,sco SCO,5
20,FW,11,135,22,Reiss Nelson,16.3,54.5,19,5.5,eng ENG,6
21,FW,6,119,26,Eddie Nketiah,21.8,33.3,20,4.5,eng ENG,2
22,DF,3,34,10,Nacho Monreal,29.4,33.3,33,3.0,es ESP,1
23,DF,1,24,10,Rob Holding,41.7,0.0,23,3.0,eng ENG,0
24,DF,2,11,3,Pablo Marí,27.3,50.0,25,1.3,es ESP,1
25,GK,0,1,0,Emiliano Martínez,0.0,,26,1.6,ar ARG,0
26,FW,3,32,8,Henrikh Mkhitaryan,25.0,0.0,30,1.2,am ARM,0
27,MF,3,22,7,Emile Smith-Rowe,31.8,33.3,19,1.1,eng ENG,1
