,position,xa_per90,minutes,player,xg_per90,age,npxg_per90,nationality
0,GK,0.00,"2,649",Bernd Leno,0.00,27,0.00,de GER
1,FW,0.08,"2,573",Pierre-Emerick Aubameyang,0.43,30,0.41,ga GAB
2,DF,0.04,"2,210",David Luiz,0.06,32,0.06,br BRA
3,MF,0.04,"2,001",Granit Xhaka,0.01,26,0.01,ch SUI
4,MF,0.06,"1,748",Mattéo Guendouzi,0.03,20,0.03,fr FRA
5,FW,0.20,"1,740",Nicolas Pépé,0.23,24,0.19,ci CIV
6,DF,0.01,"1,696",Sokratis Papastathopoulos,0.06,31,0.06,gr GRE
7,MF,0.14,"1,438",Mesut Özil,0.09,30,0.09,de GER
8,FW,0.15,"1,428",Alexandre Lacazette,0.40,28,0.40,fr FRA
9,"DF,FW",0.16,"1,444",Bukayo Saka,0.05,17,0.05,eng ENG
10,MF,0.07,"1,373",Lucas Torreira,0.10,23,0.10,uy URU
11,DF,0.11,"1,245",Ainsley Maitland-Niles,0.02,21,0.02,eng ENG
12,DF,0.08,"1,218",Sead Kolašinac,0.05,26,0.05,ba BIH
13,DF,0.06,"1,102",Calum Chambers,0.05,24,0.05,eng ENG
14,MF,0.08,"1,156",Dani Ceballos,0.03,22,0.03,es ESP
15,DF,0.01,894,Héctor Bellerín,0.03,24,0.03,es ESP
16,DF,0.00,892,Shkodran Mustafi,0.07,27,0.07,de GER
17,MF,0.07,681,Joe Willock,0.19,19,0.19,eng ENG
18,FW,0.03,663,Martinelli,0.31,18,0.31,br BRA
19,DF,0.19,460,Kieran Tierney,0.01,22,0.01,sco SCO
20,FW,0.05,491,Reiss Nelson,0.12,19,0.12,eng ENG
21,FW,0.07,408,Eddie Nketiah,0.62,20,0.62,eng ENG
22,DF,0.08,270,Nacho Monreal,0.03,33,0.03,es ESP
23,DF,0.00,266,Rob Holding,0.00,23,0.00,eng ENG
24,DF,0.00,113,Pablo Marí,0.00,25,0.00,es ESP
25,GK,0.00,141,Emiliano Martínez,0.00,26,0.00,ar ARG
26,FW,0.18,112,Henrikh Mkhitaryan,0.18,30,0.18,am ARM
27,MF,0.00,97,Emile Smith-Rowe,0.00,19,0.00,eng ENG
28,FW,,,Tyreece John-Jules,,18,,eng ENG
29,GK,,,Matt Macey,,24,,eng ENG
30,DF,,,Konstantinos Mavropanos,,21,,gr GRE
31,DF,,,Zechariah Medley,,19,,eng ENG
32,MF,,,Matthew Smith,,18,,eng ENG
