,position,passes,passes_progressive_distance,passes_pct,player,passes_completed,age,minutes_90s,nationality
0,GK,990,9806,74.9,Bernd Leno,742,27,29.4,de GER
1,FW,722,2141,68.7,Pierre-Emerick Aubameyang,496,30,28.6,ga GAB
2,DF,1384,8138,86.3,David Luiz,1194,32,24.6,br BRA
3,MF,1503,7219,88.0,Granit Xhaka,1322,26,22.2,ch SUI
4,MF,1144,5472,89.0,Mattéo Guendouzi,1018,20,19.4,fr FRA
5,FW,719,2102,76.1,Nicolas Pépé,547,24,19.3,ci CIV
6,DF,973,5507,89.7,Sokratis Papastathopoulos,873,31,18.8,gr GRE
7,MF,891,3375,84.6,Mesut Özil,754,30,16.0,de GER
8,FW,383,858,77.3,Alexandre Lacazette,296,28,15.9,fr FRA
9,"DF,FW",738,2882,79.3,Bukayo Saka,585,17,16.0,eng ENG
10,MF,821,3060,87.7,Lucas Torreira,720,23,15.3,uy URU
11,DF,908,4339,83.0,Ainsley Maitland-Niles,754,21,13.8,eng ENG
12,DF,726,3145,83.7,Sead Kolašinac,608,26,13.5,ba BIH
13,DF,865,4325,81.2,Calum Chambers,702,24,12.2,eng ENG
14,MF,856,3508,84.0,Dani Ceballos,719,22,12.8,es ESP
15,DF,542,2196,80.4,Héctor Bellerín,436,24,9.9,es ESP
16,DF,566,3479,85.0,Shkodran Mustafi,481,27,9.9,de GER
17,MF,308,1260,82.5,Joe Willock,254,19,7.6,eng ENG
18,FW,138,373,62.3,Martinelli,86,18,7.4,br BRA
19,DF,281,1378,80.1,Kieran Tierney,225,22,5.1,sco SCO
20,FW,194,697,78.9,Reiss Nelson,153,19,5.5,eng ENG
21,FW,86,84,76.7,Eddie Nketiah,66,20,4.5,eng ENG
22,DF,201,1122,90.5,Nacho Monreal,182,33,3.0,es ESP
23,DF,172,852,89.5,Rob Holding,154,23,3.0,eng ENG
24,DF,91,362,89.0,Pablo Marí,81,25,1.3,es ESP
25,GK,64,784,73.4,Emiliano Martínez,47,26,1.6,ar ARG
26,FW,77,218,75.3,Henrikh Mkhitaryan,58,30,1.2,am ARM
27,MF,36,65,83.3,Emile Smith-Rowe,30,19,1.1,eng ENG
