,position,carry_progressive_distance,player,age,minutes_90s,nationality
0,GK,1050,Bernd Leno,27,29.4,de GER
1,FW,3346,Pierre-Emerick Aubameyang,30,28.6,ga GAB
2,DF,4657,David Luiz,32,24.6,br BRA
3,MF,2941,Granit Xhaka,26,22.2,ch SUI
4,MF,3891,Mattéo Guendouzi,20,19.4,fr FRA
5,FW,3975,Nicolas Pépé,24,19.3,ci CIV
6,DF,2028,Sokratis Papastathopoulos,31,18.8,gr GRE
7,MF,2368,Mesut Özil,30,16.0,de GER
8,FW,1026,Alexandre Lacazette,28,15.9,fr FRA
9,"DF,FW",2787,Bukayo Saka,17,16.0,eng ENG
10,MF,1467,Lucas Torreira,23,15.3,uy URU
11,DF,2086,Ainsley Maitland-Niles,21,13.8,eng ENG
12,DF,1572,Sead Kolašinac,26,13.5,ba BIH
13,DF,1638,Calum Chambers,24,12.2,eng ENG
14,MF,2623,Dani Ceballos,22,12.8,es ESP
15,DF,1326,Héctor Bellerín,24,9.9,es ESP
16,DF,1474,Shkodran Mustafi,27,9.9,de GER
17,MF,1395,Joe Willock,19,7.6,eng ENG
18,FW,1243,Martinelli,18,7.4,br BRA
19,DF,584,Kieran Tierney,22,5.1,sco SCO
20,FW,885,Reiss Nelson,19,5.5,eng ENG
21,FW,275,Eddie Nketiah,20,4.5,eng ENG
22,DF,355,Nacho Monreal,33,3.0,es ESP
23,DF,367,Rob Holding,23,3.0,eng ENG
24,DF,335,Pablo Marí,25,1.3,es ESP
25,GK,66,Emiliano Martínez,26,1.6,ar ARG
26,FW,250,Henrikh Mkhitaryan,30,1.2,am ARM
27,MF,180,Emile Smith-Rowe,19,1.1,eng ENG
