,age,nationality,sca_per90,minutes_90s,player,gca,sca,gca_per90,position
0,23,eng ENG,5.41,29.9,Jack Grealish,15,162,0.50,"FW,MF"
1,26,eng ENG,0.46,26.2,Tyrone Mings,1,12,0.04,DF
2,23,eng ENG,2.15,21.9,Matt Targett,4,47,0.18,DF
3,24,nl NED,2.48,21.0,Anwar El Ghazi,6,52,0.29,"FW,MF"
4,21,br BRA,1.13,23.1,Douglas Luiz,2,26,0.09,MF
5,24,fr FRA,1.47,21.1,Frederic Guilbert,4,31,0.19,DF
6,24,sco SCO,3.94,20.1,John McGinn,8,79,0.40,MF
7,22,br BRA,1.31,19.8,Wesley Moraes,3,26,0.15,FW
8,33,eng ENG,0.00,19.9,Tom Heaton,0,0,0.00,GK
9,25,zw ZIM,0.92,19.6,Marvelous Nakamba,1,18,0.05,MF
10,21,eng ENG,0.72,16.7,Ezri Konsa,2,12,0.12,DF
11,24,be BEL,0.37,16.1,Björn Engels,0,6,0.00,DF
12,24,eng ENG,0.47,15.0,Kortney Hause,1,7,0.07,DF
13,24,eg EGY,2.30,16.1,Trézéguet,2,37,0.12,"FW,MF"
14,28,ie IRL,3.72,13.2,Conor Hourihane,4,49,0.30,MF
15,30,wal WAL,0.82,9.7,Neil Taylor,2,8,0.21,DF
16,31,eg EGY,2.18,9.2,Ahmed Elmohamady,1,20,0.11,DF
17,26,tz TAN,1.84,6.5,Mbwana Samatta,1,12,0.15,FW
18,36,es ESP,0.33,6.0,Pepe Reina,1,2,0.17,GK
19,28,no NOR,0.17,6.0,Ørjan Nyland,0,1,0.00,GK
20,28,es ESP,2.26,3.5,Jota,1,8,0.28,"FW,MF"
21,29,eng ENG,1.39,2.9,Danny Drinkwater,0,4,0.00,MF
22,21,eng ENG,2.98,4.0,Keinan Davis,1,12,0.25,FW
23,28,eng ENG,0.93,2.2,Henri Lansbury,0,2,0.00,MF
24,26,eng ENG,0.00,0.1,Jed Steer,0,0,0.00,GK
25,29,ci CIV,2.31,1.3,Jonathan Kodjia,0,3,0.00,"FW,MF"
26,18,us USA,0.00,0.4,Indiana Vassilev,0,0,0.00,FW
27,26,es ESP,0.00,0.2,Borja Bastón,0,0,0.00,"MF,FW"
