,age,assists_per90,minutes,nationality,goals_per90,goals,assists,player,npxg_per90,xg_per90,position,xa_per90
0,23,0.20,"2,693",eng ENG,0.23,7,6,Jack Grealish,0.16,0.19,"FW,MF",0.19
1,26,0.04,"2,362",eng ENG,0.08,2,1,Tyrone Mings,0.04,0.04,DF,0.02
2,23,0.09,"1,967",eng ENG,0.05,1,2,Matt Targett,0.02,0.02,DF,0.13
3,24,0.19,"1,890",nl NED,0.19,4,4,Anwar El Ghazi,0.23,0.27,"FW,MF",0.13
4,21,0.09,"2,079",br BRA,0.13,3,2,Douglas Luiz,0.09,0.09,MF,0.05
5,24,0.09,"1,900",fr FRA,0.00,0,2,Frederic Guilbert,0.01,0.01,DF,0.07
6,24,0.10,"1,805",sco SCO,0.15,3,2,John McGinn,0.15,0.15,MF,0.10
7,22,0.05,"1,782",br BRA,0.25,5,1,Wesley Moraes,0.22,0.26,FW,0.05
8,33,0.00,"1,794",eng ENG,0.00,0,0,Tom Heaton,0.00,0.00,GK,0.00
9,25,0.00,"1,760",zw ZIM,0.00,0,0,Marvelous Nakamba,0.01,0.01,MF,0.03
10,21,0.12,"1,499",eng ENG,0.00,0,2,Ezri Konsa,0.04,0.04,DF,0.02
11,24,0.00,"1,447",be BEL,0.06,1,0,Björn Engels,0.05,0.05,DF,0.01
12,24,0.00,"1,350",eng ENG,0.07,1,0,Kortney Hause,0.14,0.14,DF,0.01
13,24,0.06,"1,447",eg EGY,0.19,3,1,Trézéguet,0.19,0.19,"FW,MF",0.04
14,28,0.23,"1,185",ie IRL,0.23,3,3,Conor Hourihane,0.10,0.10,MF,0.33
15,30,0.00,875,wal WAL,0.00,0,0,Neil Taylor,0.02,0.02,DF,0.02
16,31,0.11,827,eg EGY,0.11,1,1,Ahmed Elmohamady,0.03,0.03,DF,0.13
17,26,0.00,588,tz TAN,0.15,1,0,Mbwana Samatta,0.18,0.18,FW,0.03
18,36,0.00,540,es ESP,0.00,0,0,Pepe Reina,0.00,0.00,GK,0.00
19,28,0.00,539,no NOR,0.00,0,0,Ørjan Nyland,0.00,0.00,GK,0.00
20,28,0.28,318,es ESP,0.00,0,1,Jota,0.07,0.07,"FW,MF",0.18
21,29,0.00,259,eng ENG,0.00,0,0,Danny Drinkwater,0.04,0.04,MF,0.01
22,21,0.00,363,eng ENG,0.00,0,0,Keinan Davis,0.47,0.47,FW,0.03
23,28,0.00,194,eng ENG,0.00,0,0,Henri Lansbury,0.05,0.05,MF,0.03
24,26,0.00,7,eng ENG,0.00,0,0,Jed Steer,0.00,0.00,GK,0.00
25,29,0.00,117,ci CIV,0.00,0,0,Jonathan Kodjia,0.04,0.04,"FW,MF",0.00
26,18,0.00,38,us USA,0.00,0,0,Indiana Vassilev,0.00,0.00,FW,0.00
27,26,0.00,18,es ESP,0.00,0,0,Borja Bastón,0.00,0.00,"MF,FW",0.00
28,30,,,wal WAL,,,,James Chester,,,DF,
29,29,,,hr CRO,,,,Lovre Kalinić,,,GK,
