,age,passes,nationality,passes_completed,passes_progressive_distance,minutes_90s,player,passes_pct,position
0,23,1329,eng ENG,1058,5473,29.9,Jack Grealish,79.6,"FW,MF"
1,26,1150,eng ENG,922,6973,26.2,Tyrone Mings,80.2,DF
2,23,1089,eng ENG,797,6367,21.9,Matt Targett,73.2,DF
3,24,564,nl NED,372,1750,21.0,Anwar El Ghazi,66.0,"FW,MF"
4,21,997,br BRA,817,3757,23.1,Douglas Luiz,81.9,MF
5,24,977,fr FRA,655,5296,21.1,Frederic Guilbert,67.0,DF
6,24,625,sco SCO,476,3154,20.1,John McGinn,76.2,MF
7,22,377,br BRA,277,608,19.8,Wesley Moraes,73.5,FW
8,33,614,eng ENG,350,9485,19.9,Tom Heaton,57.0,GK
9,25,768,zw ZIM,648,2529,19.6,Marvelous Nakamba,84.4,MF
10,21,664,eng ENG,539,3912,16.7,Ezri Konsa,81.2,DF
11,24,605,be BEL,503,3869,16.1,Björn Engels,83.1,DF
12,24,746,eng ENG,558,4386,15.0,Kortney Hause,74.8,DF
13,24,352,eg EGY,237,1031,16.1,Trézéguet,67.3,"FW,MF"
14,28,548,ie IRL,428,2453,13.2,Conor Hourihane,78.1,MF
15,30,423,wal WAL,339,2396,9.7,Neil Taylor,80.1,DF
16,31,518,eg EGY,390,2857,9.2,Ahmed Elmohamady,75.3,DF
17,26,104,tz TAN,82,182,6.5,Mbwana Samatta,78.8,FW
18,36,196,es ESP,142,2983,6.0,Pepe Reina,72.4,GK
19,28,182,no NOR,105,2799,6.0,Ørjan Nyland,57.7,GK
20,28,88,es ESP,68,557,3.5,Jota,77.3,"FW,MF"
21,29,167,eng ENG,136,565,2.9,Danny Drinkwater,81.4,MF
22,21,84,eng ENG,64,102,4.0,Keinan Davis,76.2,FW
23,28,81,eng ENG,60,254,2.2,Henri Lansbury,74.1,MF
24,26,2,eng ENG,1,9,0.1,Jed Steer,50.0,GK
25,29,30,ci CIV,19,8,1.3,Jonathan Kodjia,63.3,"FW,MF"
26,18,9,us USA,7,1,0.4,Indiana Vassilev,77.8,FW
27,26,5,es ESP,4,28,0.2,Borja Bastón,80.0,"MF,FW"
