,age,pressure_regains,nationality,dribble_tackles,minutes_90s,pressure_regain_pct,player,dribbles_vs,dribble_tackles_pct,pressures,position
0,21,0,eng ENG,0,31.0,0.0,Aaron Ramsdale,2,0.0,5,GK
1,27,175,eng ENG,1,28.1,26.5,Callum Wilson,14,7.1,661,FW
2,23,149,dk DEN,16,25.1,23.9,Philip Billing,62,25.8,623,MF
3,24,55,nl NED,7,25.4,27.1,Nathan Aké,21,33.3,203,DF
4,24,135,co COL,23,24.1,28.8,Jefferson Lerma,50,46.0,468,MF
5,28,47,eng ENG,8,23.4,32.2,Steve Cook,21,38.1,146,DF
6,25,65,sco SCO,4,23.0,21.8,Ryan Fraser,17,23.5,298,"MF,FW"
7,28,103,eng ENG,24,20.3,27.3,Adam Smith,51,47.1,377,DF
8,26,89,es ESP,12,19.9,29.6,Diego Rico,36,33.3,301,DF
9,22,89,wal WAL,12,17.0,23.2,Harry Wilson,33,36.4,383,"MF,FW"
10,27,101,no NOR,1,17.8,24.5,Joshua King,10,10.0,413,"FW,MF"
11,23,46,eng ENG,4,13.7,23.6,Jack Stacey,17,23.5,195,DF
12,21,126,eng ENG,2,14.9,23.2,Dominic Solanke,24,8.3,542,"FW,MF"
13,22,65,eng ENG,8,13.7,19.3,Lewis Cook,39,20.5,337,MF
14,34,29,eng ENG,11,10.8,27.1,Simon Francis,25,44.0,107,DF
15,29,61,eng ENG,5,10.5,24.6,Dan Gosling,21,23.8,248,MF
16,21,49,wal WAL,9,10.1,37.1,Chris Mepham,16,56.3,132,DF
17,22,29,nl NED,1,6.0,41.4,Arnaut Groeneveld,6,16.7,70,MF
18,29,17,eng ENG,0,3.9,30.9,Junior Stanislas,2,0.0,55,"MF,FW"
19,22,13,wal WAL,0,2.1,33.3,David Brooks,7,0.0,39,MF
20,32,11,eng ENG,3,2.6,24.4,Andrew Surman,4,75.0,45,MF
21,32,5,eng ENG,1,1.4,19.2,Charlie Daniels,2,50.0,26,DF
22,22,4,eng ENG,2,2.7,12.5,Jack Simpson,6,33.3,32,DF
23,20,6,eng ENG,1,1.1,31.6,Lloyd Kelly,2,50.0,19,DF
24,20,0,ie IRL,0,1.0,,Mark Travers,0,,0,GK
25,23,3,eng ENG,0,0.6,27.3,Jordon Ibe,0,,11,DF
26,21,2,eng ENG,0,0.2,50.0,Sam Surridge,0,,4,FW
