,age,nationality,sca_per90,minutes_90s,player,gca,sca,gca_per90,position
0,21,eng ENG,0.06,31.0,Aaron Ramsdale,0,2,0.00,GK
1,27,eng ENG,1.89,28.1,Callum Wilson,5,53,0.18,FW
2,23,dk DEN,1.51,25.1,Philip Billing,4,38,0.16,MF
3,24,nl NED,0.51,25.4,Nathan Aké,2,13,0.08,DF
4,24,co COL,1.16,24.1,Jefferson Lerma,2,28,0.08,MF
5,28,eng ENG,0.21,23.4,Steve Cook,0,5,0.00,DF
6,25,sco SCO,2.87,23.0,Ryan Fraser,6,66,0.26,"MF,FW"
7,28,eng ENG,0.89,20.3,Adam Smith,1,18,0.05,DF
8,26,es ESP,1.91,19.9,Diego Rico,4,38,0.20,DF
9,22,wal WAL,2.41,17.0,Harry Wilson,3,41,0.18,"MF,FW"
10,27,no NOR,2.53,17.8,Joshua King,7,45,0.39,"FW,MF"
11,23,eng ENG,1.09,13.7,Jack Stacey,2,15,0.15,DF
12,21,eng ENG,2.14,14.9,Dominic Solanke,3,32,0.20,"FW,MF"
13,22,eng ENG,2.04,13.7,Lewis Cook,4,28,0.29,MF
14,34,eng ENG,0.65,10.8,Simon Francis,1,7,0.09,DF
15,29,eng ENG,1.34,10.5,Dan Gosling,1,14,0.10,MF
16,21,wal WAL,0.30,10.1,Chris Mepham,0,3,0.00,DF
17,22,nl NED,1.33,6.0,Arnaut Groeneveld,0,8,0.00,MF
18,29,eng ENG,3.10,3.9,Junior Stanislas,0,12,0.00,"MF,FW"
19,22,wal WAL,2.42,2.1,David Brooks,0,5,0.00,MF
20,32,eng ENG,0.38,2.6,Andrew Surman,0,1,0.00,MF
21,32,eng ENG,2.86,1.4,Charlie Daniels,0,4,0.00,DF
22,22,eng ENG,0.00,2.7,Jack Simpson,0,0,0.00,DF
23,20,eng ENG,0.91,1.1,Lloyd Kelly,0,1,0.00,DF
24,20,ie IRL,0.00,1.0,Mark Travers,0,0,0.00,GK
25,23,eng ENG,0.00,0.6,Jordon Ibe,0,0,0.00,DF
26,21,eng ENG,0.00,0.2,Sam Surridge,0,0,0.00,FW
