,age,assists_per90,minutes,nationality,goals_per90,goals,assists,player,npxg_per90,xg_per90,position,xa_per90
0,21,0.03,"2,790",eng ENG,0.00,0,1,Aaron Ramsdale,0.00,0.00,GK,0.00
1,27,0.00,"2,527",eng ENG,0.28,8,0,Callum Wilson,0.33,0.33,FW,0.08
2,23,0.04,"2,258",dk DEN,0.04,1,1,Philip Billing,0.08,0.08,MF,0.05
3,24,0.08,"2,284",nl NED,0.08,2,2,Nathan Aké,0.10,0.10,DF,0.02
4,24,0.08,"2,172",co COL,0.04,1,2,Jefferson Lerma,0.04,0.04,MF,0.07
5,28,0.00,"2,107",eng ENG,0.04,1,0,Steve Cook,0.03,0.03,DF,0.01
6,25,0.17,"2,067",sco SCO,0.04,1,4,Ryan Fraser,0.14,0.14,"MF,FW",0.18
7,28,0.05,"1,827",eng ENG,0.00,0,1,Adam Smith,0.03,0.03,DF,0.04
8,26,0.10,"1,792",es ESP,0.00,0,2,Diego Rico,0.02,0.02,DF,0.10
9,22,0.00,"1,534",wal WAL,0.41,7,0,Harry Wilson,0.21,0.21,"MF,FW",0.10
10,27,0.11,"1,600",no NOR,0.23,4,2,Joshua King,0.24,0.28,"FW,MF",0.15
11,23,0.15,"1,237",eng ENG,0.00,0,2,Jack Stacey,0.02,0.02,DF,0.17
12,21,0.07,"1,344",eng ENG,0.00,0,1,Dominic Solanke,0.16,0.16,"FW,MF",0.06
13,22,0.00,"1,234",eng ENG,0.00,0,0,Lewis Cook,0.02,0.02,MF,0.06
14,34,0.00,969,eng ENG,0.00,0,0,Simon Francis,0.02,0.02,DF,0.03
15,29,0.10,941,eng ENG,0.29,3,1,Dan Gosling,0.19,0.19,MF,0.05
16,21,0.00,912,wal WAL,0.10,1,0,Chris Mepham,0.06,0.06,DF,0.01
17,22,0.00,540,nl NED,0.00,0,0,Arnaut Groeneveld,0.14,0.14,MF,0.04
18,29,0.00,348,eng ENG,0.00,0,0,Junior Stanislas,0.11,0.11,"MF,FW",0.10
19,22,0.00,186,wal WAL,0.00,0,0,David Brooks,0.02,0.02,MF,0.14
20,32,0.00,235,eng ENG,0.00,0,0,Andrew Surman,0.01,0.01,MF,0.01
21,32,0.00,126,eng ENG,0.00,0,0,Charlie Daniels,0.00,0.00,DF,0.05
22,22,0.00,241,eng ENG,0.00,0,0,Jack Simpson,0.01,0.01,DF,0.00
23,20,0.00,99,eng ENG,0.00,0,0,Lloyd Kelly,0.00,0.00,DF,0.00
24,20,0.00,90,ie IRL,0.00,0,0,Mark Travers,0.00,0.00,GK,0.00
25,23,0.00,50,eng ENG,0.00,0,0,Jordon Ibe,0.00,0.00,DF,0.00
26,21,0.00,16,eng ENG,0.00,0,0,Sam Surridge,0.00,0.00,FW,0.00
27,39,,,pl POL,,,,Artur Boruc,,,GK,
28,20,,,ro ROU,,,,Mihai Dobre,,,MF,
29,19,,,ie IRL,,,,Gavin Kilkenny,,,MF,
30,17,,,lr LBR,,,,Christian Saydee,,,MF,
