,age,passes,nationality,passes_completed,passes_progressive_distance,minutes_90s,player,passes_pct,position
0,21,954,eng ENG,572,12162,31.0,Aaron Ramsdale,60.0,GK
1,27,451,eng ENG,297,933,28.1,Callum Wilson,65.9,FW
2,23,1067,dk DEN,807,3655,25.1,Philip Billing,75.6,MF
3,24,1138,nl NED,1011,6813,25.4,Nathan Aké,88.8,DF
4,24,1176,co COL,944,5508,24.1,Jefferson Lerma,80.3,MF
5,28,1130,eng ENG,928,6941,23.4,Steve Cook,82.1,DF
6,25,950,sco SCO,648,4285,23.0,Ryan Fraser,68.2,"MF,FW"
7,28,976,eng ENG,782,4431,20.3,Adam Smith,80.1,DF
8,26,1145,es ESP,792,7922,19.9,Diego Rico,69.2,DF
9,22,562,wal WAL,424,1890,17.0,Harry Wilson,75.4,"MF,FW"
10,27,398,no NOR,284,981,17.8,Joshua King,71.4,"FW,MF"
11,23,643,eng ENG,469,3129,13.7,Jack Stacey,72.9,DF
12,21,368,eng ENG,273,793,14.9,Dominic Solanke,74.2,"FW,MF"
13,22,672,eng ENG,524,3051,13.7,Lewis Cook,78.0,MF
14,34,544,eng ENG,425,3412,10.8,Simon Francis,78.1,DF
15,29,400,eng ENG,317,1203,10.5,Dan Gosling,79.3,MF
16,21,483,wal WAL,414,2807,10.1,Chris Mepham,85.7,DF
17,22,203,nl NED,163,680,6.0,Arnaut Groeneveld,80.3,MF
18,29,149,eng ENG,115,634,3.9,Junior Stanislas,77.2,"MF,FW"
19,22,81,wal WAL,53,332,2.1,David Brooks,65.4,MF
20,32,127,eng ENG,102,487,2.6,Andrew Surman,80.3,MF
21,32,49,eng ENG,35,323,1.4,Charlie Daniels,71.4,DF
22,22,100,eng ENG,70,446,2.7,Jack Simpson,70.0,DF
23,20,64,eng ENG,54,328,1.1,Lloyd Kelly,84.4,DF
24,20,32,ie IRL,23,479,1.0,Mark Travers,71.9,GK
25,23,22,eng ENG,17,144,0.6,Jordon Ibe,77.3,DF
26,21,3,eng ENG,2,9,0.2,Sam Surridge,66.7,FW
