,minutes_90s,position,passes_progressive_distance,nationality,player,passes_pct,passes_completed,age,passes
0,28.9,DF,11918,es ESP,César Azpilicueta,79.4,1741,29,2192
1,27.5,"MF,FW",3877,eng ENG,Mason Mount,80.2,923,20,1151
2,27.0,GK,9943,es ESP,Kepa Arrizabalaga,79.2,710,24,896
3,23.4,FW,4204,br BRA,Willian,78.5,980,30,1248
4,22.3,MF,7682,it ITA,Jorginho,87.5,1606,27,1836
5,21.9,FW,757,eng ENG,Tammy Abraham,70.1,253,21,361
6,20.0,DF,7696,fr FRA,Kurt Zouma,88.3,1280,24,1450
7,19.5,MF,7094,hr CRO,Mateo Kovačić,89.9,1460,25,1624
8,17.4,MF,3688,fr FRA,N'Golo Kanté,84.1,833,28,991
9,16.0,DF,4834,dk DEN,Andreas Christensen,92.8,888,23,957
10,14.5,DF,5673,de GER,Antonio Rüdiger,87.4,903,26,1033
11,14.3,DF,5865,eng ENG,Fikayo Tomori,89.3,981,21,1098
12,13.3,FW,1137,us USA,Christian Pulisic,77.2,379,20,491
13,11.3,DF,3118,it ITA,Emerson Palmieri,82.8,704,24,850
14,11.9,DF,3898,eng ENG,Reece James,83.6,732,19,876
15,11.5,DF,3472,es ESP,Marcos Alonso,82.1,662,28,806
16,8.7,MF,1473,eng ENG,Ross Barkley,86.4,375,25,434
17,7.3,FW,967,es ESP,Pedro,78.1,257,32,329
18,8.6,FW,1388,eng ENG,Callum Hudson-Odoi,80.5,351,18,436
19,6.5,FW,205,fr FRA,Olivier Giroud,70.4,131,32,186
20,4.0,GK,1580,ar ARG,Willy Caballero,70.4,88,37,125
21,2.7,FW,85,be BEL,Michy Batshuayi,80.3,61,25,76
22,1.1,MF,350,sco SCO,Billy Gilmour,88.0,81,18,92
23,0.6,FW,22,eng ENG,Ruben Loftus-Cheek,90.0,18,23,20
24,0.4,DF,80,eng ENG,Tariq Lamptey,85.7,12,18,14
25,0.2,FW,14,eng ENG,Faustino Anjorin,100.0,7,17,7
26,0.1,FW,0,al ALB,Armando Broja,100.0,2,17,2
