,passes_completed,position,player,passes_progressive_distance,nationality,passes_pct,age,minutes_90s,passes
0,2312,DF,Virgil van Dijk,15230,nl NED,90.8,28,31.0,2545
1,1930,DF,Trent Alexander-Arnold,16594,eng ENG,71.2,20,30.1,2712
2,795,FW,Roberto Firmino,3063,br BRA,79.3,27,28.3,1003
3,1215,MF,Georginio Wijnaldum,3693,nl NED,90.7,28,27.1,1339
4,1869,DF,Andrew Robertson,11366,sco SCO,81.1,25,28.1,2305
5,616,FW,Mohamed Salah,2524,eg EGY,73.9,27,25.9,833
6,745,FW,Sadio Mané,2981,sn SEN,79.9,27,25.0,932
7,1444,MF,Jordan Henderson,6775,eng ENG,83.9,29,22.7,1721
8,604,GK,Alisson,9523,br BRA,85.6,26,21.3,706
9,1063,MF,Fabinho,4194,br BRA,87.5,25,18.1,1215
10,1275,DF,Joe Gomez,7271,eng ENG,89.6,22,15.8,1423
11,488,"MF,FW",Alex Oxlade-Chamberlain,2165,eng ENG,80.1,25,13.1,609
12,227,GK,Adrián,3820,es ESP,72.3,32,9.7,314
13,530,DF,Dejan Lovren,3512,hr CRO,87.9,30,8.6,603
14,554,"MF,DF",James Milner,2730,eng ENG,84.8,33,9.0,653
15,448,DF,Joël Matip,3136,cm CMR,87.2,27,7.8,514
16,121,FW,Divock Origi,273,be BEL,72.5,24,6.2,167
17,337,MF,Naby Keïta,1366,gn GUI,90.6,24,4.9,372
18,229,"MF,FW",Adam Lallana,791,eng ENG,84.8,31,4.2,270
19,83,FW,Xherdan Shaqiri,493,ch SUI,82.2,27,2.0,101
20,57,"FW,MF",Takumi Minamino,109,jp JPN,89.1,24,1.6,64
21,22,MF,Curtis Jones,50,eng ENG,95.7,18,0.2,23
22,24,DF,Neco Williams,107,wal WAL,88.9,18,0.2,27
23,12,DF,Harvey Elliot,79,eng ENG,80.0,16,0.1,15
