,position,player,nationality,carry_progressive_distance,age,minutes_90s
0,DF,Virgil van Dijk,nl NED,4241,28,31.0
1,DF,Trent Alexander-Arnold,eng ENG,5101,20,30.1
2,FW,Roberto Firmino,br BRA,3182,27,28.3
3,MF,Georginio Wijnaldum,nl NED,2927,28,27.1
4,DF,Andrew Robertson,sco SCO,5669,25,28.1
5,FW,Mohamed Salah,eg EGY,3285,27,25.9
6,FW,Sadio Mané,sn SEN,4273,27,25.0
7,MF,Jordan Henderson,eng ENG,3274,29,22.7
8,GK,Alisson,br BRA,868,26,21.3
9,MF,Fabinho,br BRA,1880,25,18.1
10,DF,Joe Gomez,eng ENG,2875,22,15.8
11,"MF,FW",Alex Oxlade-Chamberlain,eng ENG,1678,25,13.1
12,GK,Adrián,es ESP,356,32,9.7
13,DF,Dejan Lovren,hr CRO,1420,30,8.6
14,"MF,DF",James Milner,eng ENG,916,33,9.0
15,DF,Joël Matip,cm CMR,1768,27,7.8
16,FW,Divock Origi,be BEL,893,24,6.2
17,MF,Naby Keïta,gn GUI,1167,24,4.9
18,"MF,FW",Adam Lallana,eng ENG,523,31,4.2
19,FW,Xherdan Shaqiri,ch SUI,131,27,2.0
20,"FW,MF",Takumi Minamino,jp JPN,161,24,1.6
21,MF,Curtis Jones,eng ENG,28,18,0.2
22,DF,Neco Williams,wal WAL,79,18,0.2
23,DF,Harvey Elliot,eng ENG,13,16,0.1
