,goals_against,round,xg_against,goals_for,xg_for,goal_diff,xg_diff,xg_diff_roll_avg
0,0,Matchweek 1,0.8,4,2.1,4,1.3,
1,1,Matchweek 2,0.3,1,1.3,0,1.0,
2,2,Matchweek 3,0.8,1,2.2,-1,1.4000000000000001,
3,1,Matchweek 4,0.8,1,1.7,0,0.8999999999999999,
4,0,Matchweek 5,0.4,1,1.1,1,0.7000000000000001,1.06
5,2,Matchweek 6,0.4,0,1.1,-2,0.7000000000000001,0.9400000000000001
6,1,Matchweek 7,1.6,1,1.1,0,-0.5,0.64
7,1,Matchweek 8,0.6,0,0.7,-1,0.09999999999999998,0.38
8,1,Matchweek 9,1.2,1,0.7,0,-0.5,0.10000000000000005
9,1,Matchweek 10,1.1,3,4.1,2,2.9999999999999996,0.5599999999999999
10,1,Matchweek 11,1.7,0,0.7,-1,-1.0,0.21999999999999992
11,1,Matchweek 12,0.8,3,2.3,2,1.4999999999999998,0.6199999999999999
12,3,Matchweek 13,1.2,3,1.2,0,0.0,0.5999999999999999
13,2,Matchweek 14,1.2,2,1.7,0,0.5,0.7999999999999999
14,1,Matchweek 15,0.5,2,1.2,1,0.7,0.33999999999999997
15,1,Matchweek 16,2.2,2,1.6,1,-0.6000000000000001,0.41999999999999993
16,1,Matchweek 17,0.3,1,1.6,0,1.3,0.37999999999999995
17,2,Matchweek 18,1.5,0,1.8,-2,0.30000000000000004,0.43999999999999995
18,1,Matchweek 19,0.8,4,1.5,3,0.7,0.47999999999999987
19,0,Matchweek 20,0.4,2,1.9,2,1.5,0.6399999999999999
20,2,Matchweek 21,1.4,0,0.9,-2,-0.4999999999999999,0.6599999999999999
21,0,Matchweek 22,0.4,4,2.1,4,1.7000000000000002,0.74
22,2,Matchweek 23,2.4,0,1.2,-2,-1.2,0.44000000000000006
23,2,Matchweek 24,0.7,0,2.0,-2,1.3,0.5599999999999999
24,0,Matchweek 25,1.0,0,0.8,0,-0.19999999999999996,0.21999999999999992
25,0,Matchweek 26,1.3,2,0.8,2,-0.5,0.21999999999999992
26,0,Matchweek 27,0.3,3,2.3,3,1.9999999999999998,0.2799999999999999
27,1,Matchweek 28,2.5,1,1.2,0,-1.3,0.2599999999999999
28,0,Matchweek 29,0.6,2,1.4,2,0.7999999999999999,0.15999999999999984
29,1,Matchweek 30,0.4,1,1.6,0,1.2000000000000002,0.43999999999999984
30,0,Matchweek 31,0.1,3,2.5,3,2.4,1.02
31,0,Matchweek 32,0.5,3,0.8,3,0.30000000000000004,0.6799999999999999
32,2,Matchweek 33,1.1,5,2.3,3,1.1999999999999997,1.18
33,0,Matchweek 34,0.5,3,2.7,3,2.2,1.46
