,xg_per90,age,minutes,xa_per90,npxg_per90,player,nationality,position
0,0.00,28,"2,790",0.00,0.00,David de Gea,es ESP,GK
1,0.06,26,"2,790",0.02,0.06,Harry Maguire,eng ENG,DF
2,0.01,21,"2,510",0.10,0.01,Aaron Wan-Bissaka,eng ENG,DF
3,0.01,25,"2,507",0.01,0.01,Victor Lindelöf,se SWE,DF
4,0.13,21,"2,239",0.16,0.13,Daniel James,wal WAL,FW
5,0.65,21,"2,044",0.15,0.42,Marcus Rashford,eng ENG,FW
6,0.42,23,"2,031",0.14,0.39,Anthony Martial,fr FRA,FW
7,0.07,26,"2,091",0.12,0.07,Fred,br BRA,MF
8,0.08,22,"1,646",0.04,0.08,Scott McTominay,sco SCO,MF
9,0.14,23,"1,457",0.22,0.14,Andreas Pereira,br BRA,"MF,FW"
10,0.02,24,"1,416",0.07,0.02,Luke Shaw,eng ENG,DF
11,0.02,30,"1,062",0.08,0.02,Nemanja Matić,rs SRB,MF
12,0.01,34,955,0.11,0.01,Ashley Young,eng ENG,DF
13,0.19,26,892,0.09,0.19,Jesse Lingard,eng ENG,"MF,FW"
14,0.06,18,758,0.05,0.06,Brandon Williams,eng ENG,DF
15,0.15,31,747,0.25,0.15,Juan Mata,es ESP,"MF,FW"
16,0.41,24,615,0.17,0.19,Bruno Fernandes,pt POR,MF
17,0.24,26,629,0.25,0.13,Paul Pogba,fr FRA,MF
18,0.29,17,768,0.03,0.29,Mason Greenwood,eng ENG,"FW,MF"
19,0.00,21,189,0.00,0.00,Axel Tuanzebe,eng ENG,DF
20,0.15,27,135,0.00,0.15,Phil Jones,eng ENG,DF
21,0.08,29,122,0.00,0.08,Marcos Rojo,ar ARG,DF
22,0.00,25,105,0.00,0.00,Eric Bailly,ci CIV,DF
23,0.20,20,67,0.00,0.20,Diogo Dalot,pt POR,DF
24,1.86,30,58,0.24,1.86,Odion Ighalo,ng NGA,FW
25,0.15,19,37,0.00,0.15,Tahith Chong,nl NED,"FW,MF"
26,0.00,18,21,0.66,0.00,Angel Gomes,eng ENG,MF
27,0.00,18,9,0.00,0.00,James Garner,eng ENG,MF
28,,36,,,,Lee Grant,eng ENG,GK
29,,32,,,,Sergio Romero,ar ARG,GK
