,age,player,nationality,minutes_90s,carry_progressive_distance,position
0,28,David de Gea,es ESP,31.0,752,GK
1,26,Harry Maguire,eng ENG,31.0,6810,DF
2,21,Aaron Wan-Bissaka,eng ENG,27.9,4087,DF
3,25,Victor Lindelöf,se SWE,27.9,3585,DF
4,21,Daniel James,wal WAL,24.9,4872,FW
5,21,Marcus Rashford,eng ENG,22.7,4098,FW
6,23,Anthony Martial,fr FRA,22.6,2484,FW
7,26,Fred,br BRA,23.2,3769,MF
8,22,Scott McTominay,sco SCO,18.3,2220,MF
9,23,Andreas Pereira,br BRA,16.2,2294,"MF,FW"
10,24,Luke Shaw,eng ENG,15.7,2855,DF
11,30,Nemanja Matić,rs SRB,11.8,2157,MF
12,34,Ashley Young,eng ENG,10.6,1220,DF
13,26,Jesse Lingard,eng ENG,9.9,1087,"MF,FW"
14,18,Brandon Williams,eng ENG,8.4,1654,DF
15,31,Juan Mata,es ESP,8.3,1090,"MF,FW"
16,24,Bruno Fernandes,pt POR,6.8,1068,MF
17,26,Paul Pogba,fr FRA,7.0,1122,MF
18,17,Mason Greenwood,eng ENG,8.5,891,"FW,MF"
19,21,Axel Tuanzebe,eng ENG,2.1,408,DF
20,27,Phil Jones,eng ENG,1.5,262,DF
21,29,Marcos Rojo,ar ARG,1.4,87,DF
22,25,Eric Bailly,ci CIV,1.2,98,DF
23,20,Diogo Dalot,pt POR,0.7,124,DF
24,30,Odion Ighalo,ng NGA,0.6,61,FW
25,19,Tahith Chong,nl NED,0.4,58,"FW,MF"
26,18,Angel Gomes,eng ENG,0.2,50,MF
27,18,James Garner,eng ENG,0.1,5,MF
