,age,pressure_regains,nationality,dribble_tackles,minutes_90s,pressure_regain_pct,player,dribbles_vs,dribble_tackles_pct,pressures,position
0,19,116,eng ENG,19,30.0,27.3,Max Aarons,40,47.5,425,DF
1,31,1,nl NED,0,30.0,16.7,Tim Krul,1,0.0,6,GK
2,29,150,fi FIN,2,29.2,26.4,Teemu Pukki,35,5.7,569,FW
3,27,143,sco SCO,14,28.4,27.2,Kenny McLean,48,29.2,526,MF
4,21,135,eng ENG,16,24.5,26.1,Todd Cantwell,66,24.2,518,"FW,MF"
5,22,183,ar ARG,22,24.0,25.7,Emi Buendía,99,22.2,713,"FW,MF"
6,21,68,eng ENG,11,23.4,37.4,Ben Godfrey,22,50.0,182,DF
7,33,82,no NOR,10,21.7,24.3,Alexander Tettey,37,27.0,337,"MF,DF"
8,21,96,nir NIR,15,19.6,31.6,Jamal Lewis,39,38.5,304,DF
9,26,35,de GER,16,14.4,31.5,Christoph Zimmermann,20,80.0,111,DF
10,25,74,eng ENG,24,14.4,31.4,Sam Byram,49,49.0,236,DF
11,27,50,sco SCO,11,14.0,35.0,Grant Hanley,19,57.9,143,DF
12,26,112,de GER,18,12.6,28.6,Tom Trybull,66,27.3,392,MF
13,28,45,de GER,5,10.5,19.9,Marco Stiepermann,18,27.8,226,MF
14,26,70,cu CUB,9,10.2,39.1,Onel Hernández,18,50.0,179,"FW,MF"
15,26,26,fr FRA,3,8.4,24.3,Ibrahim Amadou,11,27.3,107,"DF,MF"
16,24,46,sk SVK,7,7.3,25.1,Ondrej Duda,18,38.9,183,MF
17,26,33,de GER,5,7.6,20.6,Moritz Leitner,20,25.0,160,MF
18,28,35,de GER,1,5.3,25.7,Lukas Rupp,12,8.3,136,"FW,MF"
19,30,26,ba BIH,12,4.9,25.0,Mario Vrančić,24,50.0,104,MF
20,26,28,ch SUI,1,5.0,26.4,Josip Drmić,11,9.1,106,"FW,MF"
21,31,9,ch SUI,3,2.0,56.3,Timm Klose,6,50.0,16,DF
22,35,0,nir NIR,0,1.8,,Michael McGovern,0,,0,GK
23,18,7,ie IRL,1,1.5,31.8,Adam Idah,2,50.0,22,"FW,MF"
24,30,0,de GER,0,0.2,,Ralf Fährmann,0,,0,GK
25,25,9,de GER,1,0.5,45.0,Dennis Srbeny,3,33.3,20,"MF,FW"
26,22,1,eng ENG,0,0.3,25.0,Patrick Roberts,0,,4,"MF,FW"
27,17,0,eng ENG,0,0.0,,Josh Martin,0,,0,FW
