,age,nationality,sca_per90,minutes_90s,player,gca,sca,gca_per90,position
0,19,eng ENG,1.67,30.0,Max Aarons,3,50,0.10,DF
1,31,nl NED,0.03,30.0,Tim Krul,0,1,0.00,GK
2,29,fi FIN,1.75,29.2,Teemu Pukki,5,51,0.17,FW
3,27,sco SCO,1.83,28.4,Kenny McLean,2,52,0.07,MF
4,21,eng ENG,2.89,24.5,Todd Cantwell,5,71,0.20,"FW,MF"
5,22,ar ARG,5.08,24.0,Emi Buendía,7,122,0.29,"FW,MF"
6,21,eng ENG,0.26,23.4,Ben Godfrey,1,6,0.04,DF
7,33,no NOR,0.65,21.7,Alexander Tettey,1,14,0.05,"MF,DF"
8,21,nir NIR,1.12,19.6,Jamal Lewis,1,22,0.05,DF
9,26,de GER,0.00,14.4,Christoph Zimmermann,0,0,0.00,DF
10,25,eng ENG,1.32,14.4,Sam Byram,0,19,0.00,DF
11,27,sco SCO,0.14,14.0,Grant Hanley,0,2,0.00,DF
12,26,de GER,0.72,12.6,Tom Trybull,1,9,0.08,MF
13,28,de GER,2.66,10.5,Marco Stiepermann,2,28,0.19,MF
14,26,cu CUB,2.94,10.2,Onel Hernández,3,30,0.29,"FW,MF"
15,26,fr FRA,0.12,8.4,Ibrahim Amadou,0,1,0.00,"DF,MF"
16,24,sk SVK,3.28,7.3,Ondrej Duda,2,24,0.27,MF
17,26,de GER,2.10,7.6,Moritz Leitner,0,16,0.00,MF
18,28,de GER,1.87,5.3,Lukas Rupp,0,10,0.00,"FW,MF"
19,30,ba BIH,3.47,4.9,Mario Vrančić,0,17,0.00,MF
20,26,ch SUI,2.00,5.0,Josip Drmić,1,10,0.20,"FW,MF"
21,31,ch SUI,0.00,2.0,Timm Klose,0,0,0.00,DF
22,35,nir NIR,0.00,1.8,Michael McGovern,0,0,0.00,GK
23,18,ie IRL,0.66,1.5,Adam Idah,0,1,0.00,"FW,MF"
24,30,de GER,0.00,0.2,Ralf Fährmann,0,0,0.00,GK
25,25,de GER,0.00,0.5,Dennis Srbeny,0,0,0.00,"MF,FW"
26,22,eng ENG,3.46,0.3,Patrick Roberts,0,1,0.00,"MF,FW"
27,17,eng ENG,0.00,0.0,Josh Martin,0,0,0.00,FW
