,age,passes,nationality,passes_completed,passes_progressive_distance,minutes_90s,player,passes_pct,position
0,19,1394,eng ENG,1084,5693,30.0,Max Aarons,77.8,DF
1,31,1245,nl NED,820,15186,30.0,Tim Krul,65.9,GK
2,29,478,fi FIN,385,621,29.2,Teemu Pukki,80.5,FW
3,27,1467,sco SCO,1142,6475,28.4,Kenny McLean,77.8,MF
4,21,1005,eng ENG,801,2767,24.5,Todd Cantwell,79.7,"FW,MF"
5,22,1371,ar ARG,1021,6371,24.0,Emi Buendía,74.5,"FW,MF"
6,21,1280,eng ENG,1136,6977,23.4,Ben Godfrey,88.8,DF
7,33,1036,no NOR,918,3487,21.7,Alexander Tettey,88.6,"MF,DF"
8,21,1038,nir NIR,812,4953,19.6,Jamal Lewis,78.2,DF
9,26,585,de GER,479,3661,14.4,Christoph Zimmermann,81.9,DF
10,25,763,eng ENG,625,3368,14.4,Sam Byram,81.9,DF
11,27,639,sco SCO,538,3184,14.0,Grant Hanley,84.2,DF
12,26,597,de GER,551,2562,12.6,Tom Trybull,92.3,MF
13,28,339,de GER,248,1045,10.5,Marco Stiepermann,73.2,MF
14,26,225,cu CUB,159,437,10.2,Onel Hernández,70.7,"FW,MF"
15,26,361,fr FRA,310,1790,8.4,Ibrahim Amadou,85.9,"DF,MF"
16,24,342,sk SVK,267,1107,7.3,Ondrej Duda,78.1,MF
17,26,553,de GER,472,1732,7.6,Moritz Leitner,85.4,MF
18,28,187,de GER,136,397,5.3,Lukas Rupp,72.7,"FW,MF"
19,30,295,ba BIH,232,1240,4.9,Mario Vrančić,78.6,MF
20,26,115,ch SUI,87,132,5.0,Josip Drmić,75.7,"FW,MF"
21,31,110,ch SUI,86,471,2.0,Timm Klose,78.2,DF
22,35,51,nir NIR,31,541,1.8,Michael McGovern,60.8,GK
23,18,23,ie IRL,17,44,1.5,Adam Idah,73.9,"FW,MF"
24,30,10,de GER,7,81,0.2,Ralf Fährmann,70.0,GK
25,25,23,de GER,17,36,0.5,Dennis Srbeny,73.9,"MF,FW"
26,22,10,eng ENG,7,22,0.3,Patrick Roberts,70.0,"MF,FW"
27,17,0,eng ENG,0,0,0.0,Josh Martin,,FW
