,age,nationality,minutes_90s,player,position,carry_progressive_distance
0,19,eng ENG,30.0,Max Aarons,DF,4636
1,31,nl NED,30.0,Tim Krul,GK,1612
2,29,fi FIN,29.2,Teemu Pukki,FW,1910
3,27,sco SCO,28.4,Kenny McLean,MF,2885
4,21,eng ENG,24.5,Todd Cantwell,"FW,MF",3373
5,22,ar ARG,24.0,Emi Buendía,"FW,MF",4526
6,21,eng ENG,23.4,Ben Godfrey,DF,3025
7,33,no NOR,21.7,Alexander Tettey,"MF,DF",1902
8,21,nir NIR,19.6,Jamal Lewis,DF,3406
9,26,de GER,14.4,Christoph Zimmermann,DF,1891
10,25,eng ENG,14.4,Sam Byram,DF,1128
11,27,sco SCO,14.0,Grant Hanley,DF,1014
12,26,de GER,12.6,Tom Trybull,MF,851
13,28,de GER,10.5,Marco Stiepermann,MF,1248
14,26,cu CUB,10.2,Onel Hernández,"FW,MF",2220
15,26,fr FRA,8.4,Ibrahim Amadou,"DF,MF",474
16,24,sk SVK,7.3,Ondrej Duda,MF,470
17,26,de GER,7.6,Moritz Leitner,MF,1639
18,28,de GER,5.3,Lukas Rupp,"FW,MF",321
19,30,ba BIH,4.9,Mario Vrančić,MF,683
20,26,ch SUI,5.0,Josip Drmić,"FW,MF",218
21,31,ch SUI,2.0,Timm Klose,DF,136
22,35,nir NIR,1.8,Michael McGovern,GK,47
23,18,ie IRL,1.5,Adam Idah,"FW,MF",71
24,30,de GER,0.2,Ralf Fährmann,GK,13
25,25,de GER,0.5,Dennis Srbeny,"MF,FW",44
26,22,eng ENG,0.3,Patrick Roberts,"MF,FW",76
27,17,eng ENG,0.0,Josh Martin,FW,0
