,squad,minutes_90s,passes_completed,through_balls,position,player,passes,passes_pressure
0,Crystal Palace,26.9,1188,0,DF,Patrick van Aanholt,1512,218
1,Norwich City,33.0,1243,1,DF,Max Aarons,1586,273
2,Chelsea,24.1,284,0,FW,Tammy Abraham,404,143
3,Southampton,10.6,156,2,FW,Che Adams,227,57
4,Liverpool,9.7,227,0,GK,Adrián,314,40
5,Manchester City,16.1,284,5,FW,Sergio Agüero,367,90
6,West Ham,1.5,15,0,"MF,FW",Albian Ajeti,18,5
7,Bournemouth,27.8,1042,1,DF,Nathan Aké,1183,150
8,Leicester City,8.8,312,1,"MF,DF",Marc Albrighton,461,76
9,Tottenham,29.9,1479,6,DF,Toby Alderweireld,1779,191
10,Liverpool,33.2,2126,6,DF,Trent Alexander-Arnold,2979,396
11,Liverpool,25.3,713,1,GK,Alisson,830,119
12,Tottenham,20.4,618,6,"MF,FW",Dele Alli,798,191
13,Newcastle Utd,30.9,609,2,"FW,MF",Miguel Almirón,805,192
14,Chelsea,13.0,755,0,DF,Marcos Alonso,918,204
15,Brighton,13.2,564,1,"MF,DF",Steven Alzate,664,135
16,Norwich City,8.4,310,0,"DF,MF",Ibrahim Amadou,361,68
17,West Ham,16.6,725,3,"MF,FW",Felipe Anderson,934,188
18,Brighton,0.8,8,0,"MF,FW",Florin Andone,12,5
19,Manchester City,4.7,335,0,DF,Angeliño,426,70
20,Chelsea,0.2,7,0,FW,Faustino Anjorin,7,1
21,West Ham,17.3,285,5,"FW,MF",Michail Antonio,447,156
22,Southampton,17.6,423,2,MF,Stuart Armstrong,556,142
23,Chelsea,31.0,822,0,GK,Kepa Arrizabalaga,1019,117
24,Newcastle Utd,8.3,163,1,"FW,MF",Christian Atsu,208,45
25,Arsenal,32.5,568,1,FW,Pierre-Emerick Aubameyang,821,225
26,Tottenham,27.0,1125,1,DF,Serge Aurier,1481,253
27,Crystal Palace,32.0,618,2,"FW,MF",Jordan Ayew,762,224
28,Chelsea,32.9,2042,1,DF,César Azpilicueta,2558,389
29,Manchester Utd,1.7,64,0,DF,Eric Bailly,72,7
30,Everton,4.3,147,0,DF,Leighton Baines,188,18
31,West Ham,13.1,361,1,DF,Fabián Balbuena,487,81
32,Sheffield Utd,35.0,1067,0,DF,George Baldock,1421,258
33,Burnley,18.0,474,2,DF,Phil Bardsley,719,78
34,Chelsea,12.0,524,2,MF,Ross Barkley,599,156
35,Burnley,15.0,155,1,FW,Ashley Barnes,253,97
36,Leicester City,21.2,495,3,MF,Harvey Barnes,653,168
37,Sheffield Utd,33.6,1015,0,DF,Chris Basham,1376,244
38,Aston Villa,0.2,4,0,"MF,FW",Borja Bastón,5,2
39,Chelsea,2.7,61,0,FW,Michy Batshuayi,76,16
40,Southampton,33.0,1085,0,DF,Jan Bednarek,1361,170
41,Arsenal,12.9,558,2,DF,Héctor Bellerín,686,98
42,Leicester City,2.2,94,0,DF,Ryan Bennett,127,25
43,Wolves,6.7,185,0,DF,Ryan Bennett,239,41
44,Newcastle Utd,5.9,256,0,MF,Nabil Bentaleb,296,40
45,Crystal Palace,14.0,190,2,FW,Christian Benteke,326,145
46,Burnley,4.7,78,0,MF,Jóhann Berg Guðmundsson,128,33
47,Sheffield Utd,8.0,222,0,MF,Sander Berge,294,85
48,Tottenham,6.9,190,0,"FW,MF",Steven Bergwijn,217,57
49,Everton,13.3,392,4,"MF,FW",Bernard,534,109
50,Brighton,7.3,274,0,DF,Bernardo,370,80
51,Southampton,28.5,1138,0,DF,Ryan Bertrand,1526,242
52,Sheffield Utd,2.8,86,0,MF,Muhamed Bešić,106,24
53,Bournemouth,25.9,836,3,MF,Philip Billing,1111,259
54,Brighton,12.1,464,0,MF,Yves Bissouma,552,95
55,Wolves,19.0,705,4,DF,Willy Boly,850,136
56,Brighton,0.7,24,0,"MF,DF",Gaëtan Bong,35,3
57,Southampton,8.5,247,1,"MF,FW",Sofiane Boufal,325,96
58,West Ham,7.8,138,1,"FW,MF",Jarrod Bowen,207,37
59,Burnley,4.5,73,0,MF,Robbie Brady,122,40
60,Everton,0.5,19,0,DF,Jarrad Branthwaite,23,1
61,Manchester City,3.9,101,0,GK,Claudio Bravo,132,20
62,Chelsea,0.1,2,0,FW,Armando Broja,2,2
63,Bournemouth,4.2,97,1,MF,David Brooks,140,16
64,Burnley,6.0,167,0,MF,Josh Brownhill,211,31
65,Norwich City,26.8,1131,16,"FW,MF",Emi Buendía,1515,373
66,Brighton,29.0,1279,1,DF,Dan Burn,1684,323
67,Norwich City,14.4,625,0,DF,Sam Byram,763,145
68,Chelsea,4.0,88,0,GK,Willy Caballero,125,12
69,Crystal Palace,24.1,826,0,DF,Gary Cahill,953,157
70,Everton,26.9,369,2,FW,Dominic Calvert-Lewin,556,203
71,Crystal Palace,0.1,3,0,MF,Víctor Camarasa,3,1
72,Manchester City,11.4,845,4,DF,João Cancelo,967,125
73,Norwich City,25.1,823,1,"FW,MF",Todd Cantwell,1034,245
74,Watford,29.2,1158,4,MF,Étienne Capoue,1430,187
75,Newcastle Utd,6.6,131,1,FW,Andy Carroll,201,99
76,Wolves,30.4,1112,0,DF,Jonny Castro,1360,264
77,Watford,27.6,719,0,DF,Craig Cathcart,866,139
78,Arsenal,16.6,952,4,MF,Dani Ceballos,1128,180
79,Watford,9.9,242,2,MF,Nathaniel Chalobah,328,80
80,Arsenal,12.2,702,0,DF,Calum Chambers,865,159
81,Leicester City,26.4,1528,3,DF,Ben Chilwell,1956,327
82,Manchester Utd,0.4,9,0,"FW,MF",Tahith Chong,14,2
83,Leicester City,8.9,397,0,MF,Hamza Choudhury,456,59
84,Chelsea,19.5,1166,1,DF,Andreas Christensen,1258,170
85,Newcastle Utd,13.2,253,0,DF,Ciaran Clark,322,58
86,Sheffield Utd,0.2,3,0,MF,Leon Clarke,3,0
