,squad,passes_pressure,passes_completed,passes
0,Arsenal,3311,15227,18387
1,Aston Villa,2616,10780,14321
2,Bournemouth,2854,11326,14992
3,Brighton,3362,14749,18308
4,Burnley,2611,8897,12869
5,Chelsea,4112,18909,22466
6,Crystal Palace,2899,11062,14562
7,Everton,2673,11835,15485
8,Leicester City,3299,15931,19460
9,Liverpool,3484,19097,22988
10,Manchester City,3899,22223,25367
11,Manchester Utd,3420,15989,19359
12,Newcastle Utd,2598,9574,13012
13,Norwich City,3445,13818,17234
14,Sheffield Utd,2957,11158,15188
15,Southampton,2880,11041,15081
16,Tottenham,3157,14752,18390
17,Watford,2543,10296,14191
18,West Ham,2955,11399,15163
19,Wolves,2885,13063,16556
