,passes_pct,minutes_90s,passes_progressive_distance,passes_completed,nationality,position,passes,age,player
0,83.3,26.9,8561,1363,be BEL,DF,1637,30,Toby Alderweireld
1,76.1,23.2,5857,979,ci CIV,DF,1286,26,Serge Aurier
2,87.0,23.0,6885,1134,co COL,DF,1303,23,Davinson Sánchez
3,66.3,21.8,1490,311,eng ENG,FW,469,26,Harry Kane
4,81.9,21.3,2023,539,kr KOR,FW,658,27,Son Heung-min
5,86.0,20.8,3252,893,fr FRA,MF,1038,29,Moussa Sissoko
6,77.4,20.2,2349,610,eng ENG,"MF,FW",788,23,Dele Alli
7,87.8,18.7,5705,1147,eng ENG,MF,1307,23,Harry Winks
8,74.3,19.5,1781,453,br BRA,"FW,MF",610,26,Lucas Moura
9,83.3,17.1,5679,871,be BEL,DF,1045,32,Jan Vertonghen
10,61.8,17.9,6264,319,ar ARG,GK,516,27,Paulo Gazzaniga
11,71.1,13.1,5558,278,fr FRA,GK,391,32,Hugo Lloris
12,79.9,11.9,2679,528,eng ENG,"MF,DF",661,25,Eric Dier
13,84.6,10.5,2545,484,fr FRA,MF,572,22,Tanguy Ndombele
14,77.5,11.5,1173,404,ar ARG,"MF,FW",521,27,Érik Lamela
15,73.9,12.2,2773,549,dk DEN,"MF,FW",743,27,Christian Eriksen
16,76.0,9.9,3168,435,eng ENG,DF,572,29,Danny Rose
17,75.7,9.0,3013,412,wal WAL,DF,544,26,Ben Davies
18,83.1,11.0,2745,564,ar ARG,"MF,FW",679,23,Giovani Lo Celso
19,81.0,5.8,1096,188,eng ENG,DF,232,20,Japhet Tanganga
20,90.2,5.6,307,147,nl NED,FW,163,21,Steven Bergwijn
21,74.4,3.8,925,145,eng ENG,DF,195,19,Ryan Sessegnon
22,85.5,2.7,762,183,eng ENG,DF,214,22,Kyle Walker-Peters
23,88.3,0.8,341,53,ar ARG,DF,60,21,Juan Foyth
24,92.6,0.6,110,25,eng ENG,"MF,DF",27,18,Oliver Skipp
25,75.0,0.7,131,30,pt POR,"MF,DF",40,20,Gedson Fernandes
26,94.7,0.3,127,18,ke KEN,MF,19,28,Victor Wanyama
27,100.0,0.1,25,5,ie IRL,MF,5,17,Troy Parrott
28,,0.0,0,0,fr FRA,FW,0,24,Georges-Kévin N'Koudou
