,carry_progressive_distance,minutes_90s,nationality,position,age,player
0,2723,26.9,be BEL,DF,30,Toby Alderweireld
1,2514,23.2,ci CIV,DF,26,Serge Aurier
2,2293,23.0,co COL,DF,23,Davinson Sánchez
3,1644,21.8,eng ENG,FW,26,Harry Kane
4,3342,21.3,kr KOR,FW,27,Son Heung-min
5,2958,20.8,fr FRA,MF,29,Moussa Sissoko
6,2447,20.2,eng ENG,"MF,FW",23,Dele Alli
7,3086,18.7,eng ENG,MF,23,Harry Winks
8,2775,19.5,br BRA,"FW,MF",26,Lucas Moura
9,1947,17.1,be BEL,DF,32,Jan Vertonghen
10,496,17.9,ar ARG,GK,27,Paulo Gazzaniga
11,439,13.1,fr FRA,GK,32,Hugo Lloris
12,951,11.9,eng ENG,"MF,DF",25,Eric Dier
13,1550,10.5,fr FRA,MF,22,Tanguy Ndombele
14,1986,11.5,ar ARG,"MF,FW",27,Érik Lamela
15,1495,12.2,dk DEN,"MF,FW",27,Christian Eriksen
16,1435,9.9,eng ENG,DF,29,Danny Rose
17,701,9.0,wal WAL,DF,26,Ben Davies
18,2588,11.0,ar ARG,"MF,FW",23,Giovani Lo Celso
19,455,5.8,eng ENG,DF,20,Japhet Tanganga
20,764,5.6,nl NED,FW,21,Steven Bergwijn
21,448,3.8,eng ENG,DF,19,Ryan Sessegnon
22,599,2.7,eng ENG,DF,22,Kyle Walker-Peters
23,122,0.8,ar ARG,DF,21,Juan Foyth
24,58,0.6,eng ENG,"MF,DF",18,Oliver Skipp
25,188,0.7,pt POR,"MF,DF",20,Gedson Fernandes
26,74,0.3,ke KEN,MF,28,Victor Wanyama
27,1,0.1,ie IRL,MF,17,Troy Parrott
28,25,0.0,fr FRA,FW,24,Georges-Kévin N'Koudou
