,age,pressure_regains,nationality,dribble_tackles,minutes_90s,pressure_regain_pct,player,dribbles_vs,dribble_tackles_pct,pressures,position
0,36,0,eng ENG,0,32.0,0.0,Ben Foster,3,0.0,8,GK
1,26,204,fr FRA,14,29.5,24.5,Abdoulaye Doucouré,54,25.9,832,MF
2,30,68,nir NIR,10,27.6,34.9,Craig Cathcart,30,33.3,195,DF
3,31,163,fr FRA,35,26.6,26.3,Étienne Capoue,87,40.2,619,MF
4,25,133,es ESP,13,23.3,26.0,Gerard Deulofeu,66,19.7,511,FW
5,24,139,eng ENG,21,19.5,25.5,Will Hughes,72,29.2,545,MF
6,29,55,eng ENG,8,20.2,38.2,Craig Dawson,22,36.4,144,DF
7,28,84,es ESP,17,19.7,25.8,Kiko Femenía,53,32.1,326,DF
8,31,85,eng ENG,8,19.6,23.5,Troy Deeney,25,32.0,361,FW
9,28,66,be BEL,13,19.0,33.0,Christian Kabasele,28,46.4,200,DF
10,21,87,sn SEN,2,16.6,25.9,Ismaila Sarr,14,14.3,336,"FW,MF"
11,25,66,it ITA,12,16.4,29.3,Adam Masina,37,32.4,225,DF
12,28,84,ar ARG,4,16.3,27.5,Roberto Pereyra,22,18.2,306,"FW,MF"
13,32,51,jm JAM,9,13.8,31.1,Adrian Mariappa,27,33.3,164,DF
14,35,59,gr GRE,6,11.4,33.0,José Holebas,25,24.0,179,DF
15,24,56,eng ENG,6,8.9,28.1,Nathaniel Chalobah,23,26.1,199,MF
16,29,60,eng ENG,7,8.0,29.6,Tom Cleverley,27,25.9,203,MF
17,28,43,eng ENG,1,8.1,27.6,Andre Gray,1,100.0,156,FW
18,30,31,nl NED,6,6.7,22.6,Daryl Janmaat,17,35.3,137,DF
19,28,37,eng ENG,1,4.6,38.5,Danny Welbeck,3,33.3,96,"FW,MF"
20,26,6,fr FRA,0,0.7,33.3,Dimitri Foulquier,1,0.0,18,"MF,DF"
21,32,0,at AUT,0,0.6,0.0,Sebastian Prödl,0,,3,DF
22,23,8,ar ARG,3,0.8,21.1,Ignacio Pussetto,9,33.3,38,"FW,DF"
23,23,2,ng NGA,0,0.8,14.3,Isaac Success,0,,14,"FW,MF"
24,19,3,pt POR,1,0.2,18.8,Domingos Quina,3,33.3,16,MF
25,17,0,br BRA,0,0.2,0.0,João Pedro,0,,2,FW
