,age,assists_per90,minutes,nationality,goals_per90,goals,assists,player,npxg_per90,xg_per90,position,xa_per90
0,36,0.00,"2,880",eng ENG,0.00,0,0,Ben Foster,0.00,0.00,GK,0.00
1,26,0.07,"2,654",fr FRA,0.14,4,2,Abdoulaye Doucouré,0.15,0.15,MF,0.09
2,30,0.00,"2,488",nir NIR,0.00,0,0,Craig Cathcart,0.01,0.01,DF,0.00
3,31,0.08,"2,394",fr FRA,0.00,0,2,Étienne Capoue,0.03,0.03,MF,0.09
4,25,0.21,"2,098",es ESP,0.17,4,5,Gerard Deulofeu,0.19,0.23,FW,0.20
5,24,0.05,"1,754",eng ENG,0.05,1,1,Will Hughes,0.14,0.14,MF,0.04
6,29,0.00,"1,821",eng ENG,0.05,1,0,Craig Dawson,0.06,0.06,DF,0.01
7,28,0.00,"1,770",es ESP,0.00,0,0,Kiko Femenía,0.01,0.01,DF,0.06
8,31,0.10,"1,766",eng ENG,0.31,6,2,Troy Deeney,0.22,0.34,FW,0.13
9,28,0.11,"1,710",be BEL,0.00,0,2,Christian Kabasele,0.05,0.05,DF,0.03
10,21,0.18,"1,496",sn SEN,0.30,5,3,Ismaila Sarr,0.32,0.32,"FW,MF",0.08
11,25,0.00,"1,475",it ITA,0.06,1,0,Adam Masina,0.03,0.03,DF,0.03
12,28,0.00,"1,467",ar ARG,0.18,3,0,Roberto Pereyra,0.09,0.14,"FW,MF",0.11
13,32,0.00,"1,242",jm JAM,0.00,0,0,Adrian Mariappa,0.02,0.02,DF,0.03
14,35,0.00,"1,025",gr GRE,0.00,0,0,José Holebas,0.04,0.04,DF,0.07
15,24,0.11,798,eng ENG,0.00,0,1,Nathaniel Chalobah,0.04,0.04,MF,0.08
16,29,0.00,716,eng ENG,0.13,1,0,Tom Cleverley,0.18,0.18,MF,0.06
17,28,0.00,730,eng ENG,0.25,2,0,Andre Gray,0.34,0.34,FW,0.21
18,30,0.15,607,nl NED,0.00,0,1,Daryl Janmaat,0.04,0.04,DF,0.06
19,28,0.00,411,eng ENG,0.00,0,0,Danny Welbeck,0.14,0.14,"FW,MF",0.01
20,26,0.00,59,fr FRA,0.00,0,0,Dimitri Foulquier,0.00,0.00,"MF,DF",0.03
21,32,0.00,56,at AUT,0.00,0,0,Sebastian Prödl,0.12,0.12,DF,0.00
22,23,0.00,74,ar ARG,0.00,0,0,Ignacio Pussetto,0.00,0.00,"FW,DF",0.00
23,23,0.00,70,ng NGA,0.00,0,0,Isaac Success,0.10,0.10,"FW,MF",0.16
24,19,0.00,22,pt POR,0.00,0,0,Domingos Quina,0.13,0.13,MF,0.00
25,17,0.00,17,br BRA,0.00,0,0,João Pedro,0.00,0.00,FW,0.00
26,19,,,ng NGA,,,,Tom Dele-Bashiru,,,MF,
27,38,,,br BRA,,,,Heurelho Gomes,,,GK,
28,22,,,ve VEN,,,,Adalberto Peñaranda,,,FW,
29,25,,,se SWE,,,,Ken Sema,,,"DF,MF",
