,age,passes,nationality,passes_completed,passes_progressive_distance,minutes_90s,player,passes_pct,position
0,36,1042,eng ENG,445,17199,32.0,Ben Foster,42.7,GK
1,26,1419,fr FRA,1118,4120,29.5,Abdoulaye Doucouré,78.8,MF
2,30,866,nir NIR,719,4906,27.6,Craig Cathcart,83.0,DF
3,31,1320,fr FRA,1069,5868,26.6,Étienne Capoue,81.0,MF
4,25,823,es ESP,603,2555,23.3,Gerard Deulofeu,73.3,FW
5,24,690,eng ENG,498,2496,19.5,Will Hughes,72.2,MF
6,29,697,eng ENG,558,4227,20.2,Craig Dawson,80.1,DF
7,28,1030,es ESP,794,5238,19.7,Kiko Femenía,77.1,DF
8,31,543,eng ENG,300,1568,19.6,Troy Deeney,55.2,FW
9,28,490,be BEL,373,3195,19.0,Christian Kabasele,76.1,DF
10,21,448,sn SEN,324,1284,16.6,Ismaila Sarr,72.3,"FW,MF"
11,25,778,it ITA,478,4994,16.4,Adam Masina,61.4,DF
12,28,584,ar ARG,478,1683,16.3,Roberto Pereyra,81.8,"FW,MF"
13,32,463,jm JAM,336,2824,13.8,Adrian Mariappa,72.6,DF
14,35,608,gr GRE,431,3850,11.4,José Holebas,70.9,DF
15,24,299,eng ENG,222,1042,8.9,Nathaniel Chalobah,74.2,MF
16,29,346,eng ENG,277,1374,8.0,Tom Cleverley,80.1,MF
17,28,144,eng ENG,94,315,8.1,Andre Gray,65.3,FW
18,30,341,nl NED,257,1698,6.7,Daryl Janmaat,75.4,DF
19,28,86,eng ENG,67,239,4.6,Danny Welbeck,77.9,"FW,MF"
20,26,13,fr FRA,10,63,0.7,Dimitri Foulquier,76.9,"MF,DF"
21,32,10,at AUT,6,55,0.6,Sebastian Prödl,60.0,DF
22,23,31,ar ARG,18,145,0.8,Ignacio Pussetto,58.1,"FW,DF"
23,23,21,ng NGA,14,37,0.8,Isaac Success,66.7,"FW,MF"
24,19,9,pt POR,9,21,0.2,Domingos Quina,100.0,MF
25,17,8,br BRA,6,19,0.2,João Pedro,75.0,FW
