,age,nationality,minutes_90s,player,position,carry_progressive_distance
0,36,eng ENG,32.0,Ben Foster,GK,1910
1,26,fr FRA,29.5,Abdoulaye Doucouré,MF,3423
2,30,nir NIR,27.6,Craig Cathcart,DF,1066
3,31,fr FRA,26.6,Étienne Capoue,MF,1826
4,25,es ESP,23.3,Gerard Deulofeu,FW,5493
5,24,eng ENG,19.5,Will Hughes,MF,1741
6,29,eng ENG,20.2,Craig Dawson,DF,998
7,28,es ESP,19.7,Kiko Femenía,DF,1779
8,31,eng ENG,19.6,Troy Deeney,FW,531
9,28,be BEL,19.0,Christian Kabasele,DF,661
10,21,sn SEN,16.6,Ismaila Sarr,"FW,MF",3075
11,25,it ITA,16.4,Adam Masina,DF,1138
12,28,ar ARG,16.3,Roberto Pereyra,"FW,MF",2441
13,32,jm JAM,13.8,Adrian Mariappa,DF,370
14,35,gr GRE,11.4,José Holebas,DF,907
15,24,eng ENG,8.9,Nathaniel Chalobah,MF,411
16,29,eng ENG,8.0,Tom Cleverley,MF,414
17,28,eng ENG,8.1,Andre Gray,FW,291
18,30,nl NED,6.7,Daryl Janmaat,DF,764
19,28,eng ENG,4.6,Danny Welbeck,"FW,MF",271
20,26,fr FRA,0.7,Dimitri Foulquier,"MF,DF",71
21,32,at AUT,0.6,Sebastian Prödl,DF,0
22,23,ar ARG,0.8,Ignacio Pussetto,"FW,DF",70
23,23,ng NGA,0.8,Isaac Success,"FW,MF",95
24,19,pt POR,0.2,Domingos Quina,MF,52
25,17,br BRA,0.2,João Pedro,FW,10
