,index,xg_for,xg_against,goals_against,goals_for,round,goal_diff,xg_diff
0,0,0.7,3.3,5.0,0.0,Matchweek 1,-5.0,-2.5999999999999996
1,1,0.8,1.7,1.0,1.0,Matchweek 2,0.0,-0.8999999999999999
2,2,3.3,2.5,1.0,3.0,Matchweek 3,2.0,0.7999999999999998
3,4,1.8,1.3,0.0,2.0,Matchweek 4,2.0,0.5
4,5,0.5,1.0,0.0,0.0,Matchweek 5,0.0,-0.5
5,6,0.4,1.1,0.0,2.0,Matchweek 6,2.0,-0.7000000000000001
6,8,1.4,2.0,2.0,2.0,Matchweek 7,0.0,-0.6000000000000001
7,9,1.2,2.0,2.0,1.0,Matchweek 8,-1.0,-0.8
8,10,0.9,2.1,2.0,0.0,Matchweek 9,-2.0,-1.2000000000000002
9,11,2.0,1.9,1.0,1.0,Matchweek 10,0.0,0.10000000000000009
10,12,1.8,1.6,3.0,2.0,Matchweek 11,-1.0,0.19999999999999996
11,13,0.5,1.7,3.0,0.0,Matchweek 12,-3.0,-1.2
12,14,0.8,1.7,3.0,2.0,Matchweek 13,-1.0,-0.8999999999999999
13,15,0.9,2.0,0.0,1.0,Matchweek 14,1.0,-1.1
14,16,0.4,1.9,2.0,0.0,Matchweek 15,-2.0,-1.5
15,17,0.6,1.7,3.0,1.0,Matchweek 16,-2.0,-1.1
16,18,1.0,0.9,0.0,1.0,Matchweek 17,1.0,0.09999999999999998
17,19,0.9,2.3,2.0,1.0,Matchweek 19,-1.0,-1.4
18,20,1.0,2.2,2.0,1.0,Matchweek 20,-1.0,-1.2000000000000002
19,21,1.9,0.3,0.0,4.0,Matchweek 21,4.0,1.5999999999999999
20,23,0.8,1.8,1.0,0.0,Matchweek 22,-1.0,-1.0
21,24,1.2,1.3,1.0,1.0,Matchweek 23,0.0,-0.10000000000000009
22,25,1.6,2.9,4.0,1.0,Matchweek 24,-3.0,-1.2999999999999998
23,27,0.8,2.4,2.0,0.0,Matchweek 18,-2.0,-1.5999999999999999
24,28,0.9,2.1,3.0,3.0,Matchweek 25,0.0,-1.2000000000000002
25,29,0.1,2.3,2.0,0.0,Matchweek 26,-2.0,-2.1999999999999997
26,30,0.6,2.8,3.0,2.0,Matchweek 27,-1.0,-2.1999999999999997
27,31,2.4,1.0,1.0,3.0,Matchweek 28,2.0,1.4
28,32,1.8,1.3,1.0,0.0,Matchweek 29,-1.0,0.5
29,33,0.3,0.7,2.0,0.0,Matchweek 30,-2.0,-0.39999999999999997
30,34,0.8,1.8,2.0,0.0,Matchweek 31,-2.0,-1.0
31,35,2.6,1.8,2.0,3.0,Matchweek 32,1.0,0.8
32,36,1.5,1.0,2.0,2.0,Matchweek 33,0.0,0.5
33,37,1.9,1.0,1.0,0.0,Matchweek 34,-1.0,0.8999999999999999
