,index,xg_for,goals_for,round,goals_against,xg_against,goal_diff,xg_diff,xg_diff_roll_avg
0,0,0.7,0.0,Matchweek 1,5.0,3.3,-5.0,-2.5999999999999996,
1,1,0.8,1.0,Matchweek 2,1.0,1.7,0.0,-0.8999999999999999,
2,2,3.3,3.0,Matchweek 3,1.0,2.5,2.0,0.7999999999999998,-0.8999999999999999
3,4,1.8,2.0,Matchweek 4,0.0,1.3,2.0,0.5,0.1333333333333333
4,5,0.5,0.0,Matchweek 5,0.0,1.0,0.0,-0.5,0.2666666666666666
5,6,0.4,2.0,Matchweek 6,0.0,1.1,2.0,-0.7000000000000001,-0.23333333333333336
6,8,1.4,2.0,Matchweek 7,2.0,2.0,0.0,-0.6000000000000001,-0.6000000000000001
7,9,1.2,1.0,Matchweek 8,2.0,2.0,-1.0,-0.8,-0.7000000000000002
8,10,0.9,0.0,Matchweek 9,2.0,2.1,-2.0,-1.2000000000000002,-0.8666666666666668
9,11,2.0,1.0,Matchweek 10,1.0,1.9,0.0,0.10000000000000009,-0.6333333333333334
10,12,1.8,2.0,Matchweek 11,3.0,1.6,-1.0,0.19999999999999996,-0.3000000000000001
11,13,0.5,0.0,Matchweek 12,3.0,1.7,-3.0,-1.2,-0.3000000000000001
12,14,0.8,2.0,Matchweek 13,3.0,1.7,-1.0,-0.8999999999999999,-0.6333333333333334
13,15,0.9,1.0,Matchweek 14,0.0,2.0,1.0,-1.1,-1.0666666666666667
14,16,0.4,0.0,Matchweek 15,2.0,1.9,-2.0,-1.5,-1.1666666666666667
15,17,0.6,1.0,Matchweek 16,3.0,1.7,-2.0,-1.1,-1.2333333333333332
16,18,1.0,1.0,Matchweek 17,0.0,0.9,1.0,0.09999999999999998,-0.8333333333333331
17,19,0.9,1.0,Matchweek 19,2.0,2.3,-1.0,-1.4,-0.7999999999999998
18,20,1.0,1.0,Matchweek 20,2.0,2.2,-1.0,-1.2000000000000002,-0.8333333333333331
19,21,1.9,4.0,Matchweek 21,0.0,0.3,4.0,1.5999999999999999,-0.3333333333333332
20,23,0.8,0.0,Matchweek 22,1.0,1.8,-1.0,-1.0,-0.19999999999999987
21,24,1.2,1.0,Matchweek 23,1.0,1.3,0.0,-0.10000000000000009,0.16666666666666682
22,25,1.6,1.0,Matchweek 24,4.0,2.9,-3.0,-1.2999999999999998,-0.7999999999999998
23,27,0.8,0.0,Matchweek 18,2.0,2.4,-2.0,-1.5999999999999999,-0.9999999999999997
24,28,0.9,3.0,Matchweek 25,3.0,2.1,0.0,-1.2000000000000002,-1.3666666666666665
25,29,0.1,0.0,Matchweek 26,2.0,2.3,-2.0,-2.1999999999999997,-1.6666666666666663
26,30,0.6,2.0,Matchweek 27,3.0,2.8,-1.0,-2.1999999999999997,-1.8666666666666665
27,31,2.4,3.0,Matchweek 28,1.0,1.0,2.0,1.4,-0.9999999999999997
28,32,1.8,0.0,Matchweek 29,1.0,1.3,-1.0,0.5,-0.0999999999999998
29,33,0.3,0.0,Matchweek 30,2.0,0.7,-2.0,-0.39999999999999997,0.5000000000000001
30,34,0.8,0.0,Matchweek 31,2.0,1.8,-2.0,-1.0,-0.2999999999999998
31,35,2.6,3.0,Matchweek 32,2.0,1.8,1.0,0.8,-0.19999999999999982
32,36,1.5,2.0,Matchweek 33,2.0,1.0,0.0,0.5,0.10000000000000019
33,37,1.9,0.0,Matchweek 34,1.0,1.0,-1.0,0.8999999999999999,0.7333333333333334
