,goals_against,round,xg_against,goals_for,xg_for
0,5,Matchweek 1,3.3,0,0.7
1,1,Matchweek 2,1.7,1,0.8
2,1,Matchweek 3,2.5,3,3.3
3,0,Second round,,2,
4,0,Matchweek 4,1.3,2,1.8
5,0,Matchweek 5,1.0,0,0.5
6,0,Matchweek 6,1.1,2,0.4
7,4,Third round,,0,
8,2,Matchweek 7,2.0,2,1.4
9,2,Matchweek 8,2.0,1,1.2
10,2,Matchweek 9,2.1,0,0.9
11,1,Matchweek 10,1.9,1,2.0
12,3,Matchweek 11,1.6,2,1.8
13,3,Matchweek 12,1.7,0,0.5
14,3,Matchweek 13,1.7,2,0.8
15,0,Matchweek 14,2.0,1,0.9
16,2,Matchweek 15,1.9,0,0.4
17,3,Matchweek 16,1.7,1,0.6
18,0,Matchweek 17,0.9,1,1.0
19,2,Matchweek 19,2.3,1,0.9
20,2,Matchweek 20,2.2,1,1.0
21,0,Matchweek 21,0.3,4,1.9
22,0,Third round,,2,
23,1,Matchweek 22,1.8,0,0.8
24,1,Matchweek 23,1.3,1,1.2
25,4,Matchweek 24,2.9,1,1.6
26,1,Fourth round,,0,
27,2,Matchweek 18,2.4,0,0.8
28,3,Matchweek 25,2.1,3,0.9
29,2,Matchweek 26,2.3,0,0.1
30,3,Matchweek 27,2.8,2,0.6
31,1,Matchweek 28,1.0,3,2.4
32,1,Matchweek 29,1.3,0,1.8
33,2,Matchweek 30,0.7,0,0.3
34,2,Matchweek 31,1.8,0,0.8
35,2,Matchweek 32,1.8,3,2.6
36,2,Matchweek 33,1.0,2,1.5
37,1,Matchweek 34,1.0,0,1.9
38,0,Matchweek 35,,4,
39,,Matchweek 36,,,
40,,Matchweek 37,,,
41,,Matchweek 38,,,
