,age,pressure_regains,nationality,dribble_tackles,minutes_90s,pressure_regain_pct,player,dribbles_vs,dribble_tackles_pct,pressures,position
0,20,207,eng ENG,28,32.0,29.2,Declan Rice,86,32.6,710,MF
1,32,119,eng ENG,14,25.5,26.0,Mark Noble,65,21.5,457,MF
2,29,105,eng ENG,22,25.5,33.2,Aaron Cresswell,55,40.0,316,DF
3,31,95,it ITA,13,25.0,36.4,Angelo Ogbonna,34,38.2,261,DF
4,22,74,fr FRA,13,24.7,34.6,Issa Diop,28,46.4,214,DF
5,25,118,fr FRA,3,23.9,21.1,Sébastien Haller,27,11.1,558,FW
6,26,80,eng ENG,29,20.9,28.6,Ryan Fredericks,59,49.2,280,DF
7,26,104,br BRA,11,16.6,28.1,Felipe Anderson,48,22.9,370,"MF,FW"
8,34,2,pl POL,0,17.5,20.0,Łukasz Fabiański,3,0.0,10,GK
9,23,121,es ESP,14,18.9,23.2,Pablo Fornals,57,24.6,521,"MF,FW"
10,31,90,sco SCO,10,16.8,24.5,Robert Snodgrass,40,25.0,367,"MF,FW"
11,29,58,eng ENG,2,14.4,21.4,Michail Antonio,10,20.0,271,"FW,MF"
12,26,72,ar ARG,5,14.4,21.6,Manuel Lanzini,32,15.6,334,"MF,FW"
13,27,39,py PAR,6,13.0,33.9,Fabián Balbuena,26,23.1,115,DF
14,25,62,cd COD,10,10.1,29.1,Arthur Masuaku,28,35.7,213,DF
15,29,43,ua UKR,5,9.4,28.9,Andriy Yarmolenko,20,25.0,149,MF
16,33,0,es ESP,0,7.6,,Roberto,0,,0,GK
17,34,27,ar ARG,4,6.6,29.0,Pablo Zabaleta,15,26.7,93,DF
18,24,48,cz CZE,3,5.6,29.4,Tomáš Souček,15,20.0,163,MF
19,22,30,eng ENG,3,4.9,25.9,Jarrod Bowen,9,33.3,116,"FW,MF"
20,18,34,eng ENG,7,4.9,30.4,Jeremy Ngakia,23,30.4,112,DF
21,33,1,eng ENG,0,4.8,100.0,David Martin,0,,1,GK
22,27,19,eng ENG,1,2.2,31.7,Jack Wilshere,6,16.7,60,MF
23,32,0,ie IRL,0,2.0,,Darren Randolph,0,,0,GK
24,33,6,co COL,1,1.3,23.1,Carlos Sánchez,1,100.0,26,"MF,DF"
25,31,6,mx MEX,0,1.2,23.1,Javier Hernández,1,0.0,26,FW
26,22,1,ch SUI,0,1.5,4.8,Albian Ajeti,0,,21,"MF,FW"
27,21,4,eng ENG,0,0.4,30.8,Nathan Holland,0,,13,MF
