,age,nationality,sca_per90,minutes_90s,player,gca,sca,gca_per90,position
0,20,eng ENG,0.91,32.0,Declan Rice,4,29,0.12,MF
1,32,eng ENG,1.88,25.5,Mark Noble,4,48,0.16,MF
2,29,eng ENG,1.45,25.5,Aaron Cresswell,2,37,0.08,DF
3,31,it ITA,0.24,25.0,Angelo Ogbonna,0,6,0.00,DF
4,22,fr FRA,0.20,24.7,Issa Diop,0,5,0.00,DF
5,25,fr FRA,2.01,23.9,Sébastien Haller,7,48,0.29,FW
6,26,eng ENG,1.58,20.9,Ryan Fredericks,4,33,0.19,DF
7,26,br BRA,3.44,16.6,Felipe Anderson,8,57,0.48,"MF,FW"
8,34,pl POL,0.00,17.5,Łukasz Fabiański,0,0,0.00,GK
9,23,es ESP,2.06,18.9,Pablo Fornals,7,39,0.37,"MF,FW"
10,31,sco SCO,3.04,16.8,Robert Snodgrass,7,51,0.42,"MF,FW"
11,29,eng ENG,2.56,14.4,Michail Antonio,6,37,0.42,"FW,MF"
12,26,ar ARG,3.67,14.4,Manuel Lanzini,5,53,0.35,"MF,FW"
13,27,py PAR,0.31,13.0,Fabián Balbuena,0,4,0.00,DF
14,25,cd COD,0.99,10.1,Arthur Masuaku,1,10,0.10,DF
15,29,ua UKR,3.07,9.4,Andriy Yarmolenko,6,29,0.64,MF
16,33,es ESP,0.00,7.6,Roberto,0,0,0.00,GK
17,34,ar ARG,0.76,6.6,Pablo Zabaleta,0,5,0.00,DF
18,24,cz CZE,0.54,5.6,Tomáš Souček,0,3,0.00,MF
19,22,eng ENG,2.24,4.9,Jarrod Bowen,2,11,0.41,"FW,MF"
20,18,eng ENG,0.41,4.9,Jeremy Ngakia,0,2,0.00,DF
21,33,eng ENG,0.00,4.8,David Martin,0,0,0.00,GK
22,27,eng ENG,0.45,2.2,Jack Wilshere,1,1,0.45,MF
23,32,ie IRL,0.00,2.0,Darren Randolph,0,0,0.00,GK
24,33,co COL,0.77,1.3,Carlos Sánchez,0,1,0.00,"MF,DF"
25,31,mx MEX,1.68,1.2,Javier Hernández,0,2,0.00,FW
26,22,ch SUI,1.34,1.5,Albian Ajeti,0,2,0.00,"MF,FW"
27,21,eng ENG,0.00,0.4,Nathan Holland,0,0,0.00,MF
