,age,passes,nationality,passes_completed,passes_progressive_distance,minutes_90s,player,passes_pct,position
0,20,1403,eng ENG,1208,6016,32.0,Declan Rice,86.1,MF
1,32,1246,eng ENG,1003,5785,25.5,Mark Noble,80.5,MF
2,29,1413,eng ENG,1040,8987,25.5,Aaron Cresswell,73.6,DF
3,31,741,it ITA,572,4126,25.0,Angelo Ogbonna,77.2,DF
4,22,754,fr FRA,612,4722,24.7,Issa Diop,81.2,DF
5,25,724,fr FRA,488,1438,23.9,Sébastien Haller,67.4,FW
6,26,877,eng ENG,631,4297,20.9,Ryan Fredericks,71.9,DF
7,26,934,br BRA,725,3503,16.6,Felipe Anderson,77.6,"MF,FW"
8,34,497,pl POL,268,10100,17.5,Łukasz Fabiański,53.9,GK
9,23,677,es ESP,519,2287,18.9,Pablo Fornals,76.7,"MF,FW"
10,31,635,sco SCO,435,2676,16.8,Robert Snodgrass,68.5,"MF,FW"
11,29,363,eng ENG,228,878,14.4,Michail Antonio,62.8,"FW,MF"
12,26,757,ar ARG,636,2940,14.4,Manuel Lanzini,84.0,"MF,FW"
13,27,482,py PAR,357,2873,13.0,Fabián Balbuena,74.1,DF
14,25,569,cd COD,455,2932,10.1,Arthur Masuaku,80.0,DF
15,29,341,ua UKR,274,1123,9.4,Andriy Yarmolenko,80.4,MF
16,33,232,es ESP,113,3562,7.6,Roberto,48.7,GK
17,34,326,ar ARG,247,1850,6.6,Pablo Zabaleta,75.8,DF
18,24,161,cz CZE,97,543,5.6,Tomáš Souček,60.2,MF
19,22,115,eng ENG,82,712,4.9,Jarrod Bowen,71.3,"FW,MF"
20,18,161,eng ENG,89,740,4.9,Jeremy Ngakia,55.3,DF
21,33,124,eng ENG,55,2411,4.8,David Martin,44.4,GK
22,27,67,eng ENG,55,133,2.2,Jack Wilshere,82.1,MF
23,32,40,ie IRL,22,1093,2.0,Darren Randolph,55.0,GK
24,33,55,co COL,45,218,1.3,Carlos Sánchez,81.8,"MF,DF"
25,31,22,mx MEX,19,50,1.2,Javier Hernández,86.4,FW
26,22,18,ch SUI,15,8,1.5,Albian Ajeti,83.3,"MF,FW"
27,21,14,eng ENG,11,49,0.4,Nathan Holland,78.6,MF
