,age,nationality,minutes_90s,player,position,carry_progressive_distance
0,20,eng ENG,32.0,Declan Rice,MF,3331
1,32,eng ENG,25.5,Mark Noble,MF,2123
2,29,eng ENG,25.5,Aaron Cresswell,DF,1921
3,31,it ITA,25.0,Angelo Ogbonna,DF,1220
4,22,fr FRA,24.7,Issa Diop,DF,1602
5,25,fr FRA,23.9,Sébastien Haller,FW,1068
6,26,eng ENG,20.9,Ryan Fredericks,DF,2113
7,26,br BRA,16.6,Felipe Anderson,"MF,FW",4575
8,34,pl POL,17.5,Łukasz Fabiański,GK,713
9,23,es ESP,18.9,Pablo Fornals,"MF,FW",1678
10,31,sco SCO,16.8,Robert Snodgrass,"MF,FW",1687
11,29,eng ENG,14.4,Michail Antonio,"FW,MF",2017
12,26,ar ARG,14.4,Manuel Lanzini,"MF,FW",2270
13,27,py PAR,13.0,Fabián Balbuena,DF,976
14,25,cd COD,10.1,Arthur Masuaku,DF,1955
15,29,ua UKR,9.4,Andriy Yarmolenko,MF,1077
16,33,es ESP,7.6,Roberto,GK,368
17,34,ar ARG,6.6,Pablo Zabaleta,DF,530
18,24,cz CZE,5.6,Tomáš Souček,MF,92
19,22,eng ENG,4.9,Jarrod Bowen,"FW,MF",818
20,18,eng ENG,4.9,Jeremy Ngakia,DF,540
21,33,eng ENG,4.8,David Martin,GK,162
22,27,eng ENG,2.2,Jack Wilshere,MF,239
23,32,ie IRL,2.0,Darren Randolph,GK,100
24,33,co COL,1.3,Carlos Sánchez,"MF,DF",29
25,31,mx MEX,1.2,Javier Hernández,FW,8
26,22,ch SUI,1.5,Albian Ajeti,"MF,FW",16
27,21,eng ENG,0.4,Nathan Holland,MF,90
