,xa,pens_made,assists_per90,cards_yellow,goals_assists_pens_per90,squad,nationality,pens_att,games,npxg,goals_per90,minutes,goals,xg_per90,player,assists,age,cards_red,goals_assists_per90,games_starts,npxg_per90,xa_per90,xg,position,goals_pens_per90
0,1.8,1,0.05,0,0.14,Crystal Palace,nl NED,1,23,1.0,0.14,"1,982",3,0.09,Patrick van Aanholt,1,28,0,0.18,23,0.05,0.08,1.8,DF,0.09
1,3.5,0,0.04,7,0.04,Norwich City,eng ENG,0,28,0.5,0.00,"2,520",0,0.02,Max Aarons,1,19,0,0.04,28,0.02,0.12,0.5,DF,0.00
2,2.3,0,0.14,2,0.75,Chelsea,eng ENG,0,25,12.2,0.61,"1,932",13,0.57,Tammy Abraham,3,21,0,0.75,23,0.57,0.11,12.2,FW,0.61
3,1.0,0,0.24,0,0.24,Southampton,eng ENG,0,23,1.9,0.00,740,0,0.23,Che Adams,2,23,0,0.24,8,0.23,0.12,1.9,FW,0.00
4,0.0,0,0.00,1,0.00,Liverpool,es ESP,0,11,0.0,0.00,875,0,0.00,Adrián,0,32,0,0.00,9,0.00,0.00,0.0,GK,0.00
5,2.5,2,0.19,1,1.09,Manchester City,ar ARG,3,23,11.9,1.02,"1,408",16,0.90,Sergio Agüero,3,31,0,1.21,17,0.76,0.16,14.1,FW,0.89
6,0.1,0,0.00,0,0.00,West Ham,ch SUI,0,8,0.1,0.00,134,0,0.07,Albian Ajeti,0,22,0,0.00,0,0.07,0.04,0.1,"MF,FW",0.00
7,0.6,0,0.04,1,0.13,Bournemouth,nl NED,0,24,2.3,0.09,"2,104",2,0.10,Nathan Aké,1,24,0,0.13,24,0.10,0.03,2.3,DF,0.09
8,1.2,0,0.48,1,0.48,Leicester City,eng ENG,0,15,0.4,0.00,568,0,0.07,Marc Albrighton,3,29,0,0.48,4,0.07,0.19,0.4,MF,0.00
9,0.9,0,0.07,4,0.11,Tottenham,be BEL,0,27,0.8,0.04,"2,417",1,0.03,Toby Alderweireld,2,30,0,0.11,27,0.03,0.03,0.8,DF,0.04
10,8.6,0,0.42,4,0.49,Liverpool,eng ENG,0,29,2.2,0.07,"2,549",2,0.08,Trent Alexander-Arnold,12,20,0,0.49,28,0.08,0.30,2.2,DF,0.07
11,0.4,0,0.05,0,0.05,Liverpool,br BRA,0,20,0.0,0.00,"1,733",0,0.00,Alisson,1,26,1,0.05,20,0.00,0.02,0.0,GK,0.00
12,2.2,1,0.20,2,0.56,Tottenham,eng ENG,1,22,6.2,0.41,"1,758",8,0.36,Dele Alli,4,23,0,0.61,20,0.32,0.11,7.0,"MF,FW",0.36
13,0.8,0,0.04,5,0.11,Newcastle Utd,py PAR,0,28,5.2,0.08,"2,370",2,0.20,Miguel Almirón,1,25,0,0.11,28,0.20,0.03,5.2,"FW,MF",0.08
14,1.4,0,0.21,3,0.63,Chelsea,es ESP,0,11,1.5,0.42,859,4,0.16,Marcos Alonso,2,28,0,0.63,9,0.16,0.14,1.5,DF,0.42
15,0.7,0,0.00,1,0.00,Brighton,co COL,0,19,1.1,0.00,"1,188",0,0.08,Steven Alzate,0,20,0,0.00,12,0.08,0.05,1.1,"MF,DF",0.00
16,0.1,0,0.00,1,0.00,Norwich City,fr FRA,0,11,1.0,0.00,759,0,0.12,Ibrahim Amadou,0,26,0,0.00,8,0.12,0.01,1.0,"DF,MF",0.00
17,2.9,0,0.24,1,0.31,West Ham,br BRA,0,23,2.5,0.06,"1,473",1,0.15,Felipe Anderson,4,26,0,0.31,20,0.15,0.17,2.5,"MF,FW",0.06
18,0.0,0,0.00,0,1.23,Brighton,ro ROU,0,3,0.2,1.23,73,1,0.19,Florin Andone,0,26,1,1.23,1,0.19,0.05,0.2,"MF,FW",1.23
19,1.2,0,0.00,1,0.00,Manchester City,es ESP,0,6,0.2,0.00,423,0,0.05,Angeliño,0,22,0,0.00,4,0.05,0.25,0.2,DF,0.00
20,0.0,0,0.00,0,0.00,Chelsea,eng ENG,0,1,0.0,0.00,20,0,0.10,Faustino Anjorin,0,17,0,0.00,0,0.10,0.00,0.0,FW,0.00
21,1.8,0,0.16,2,0.32,West Ham,eng ENG,0,16,4.7,0.16,"1,120",2,0.38,Michail Antonio,2,29,0,0.32,11,0.38,0.15,4.7,"FW,MF",0.16
22,0.8,0,0.07,3,0.37,Southampton,sco SCO,0,22,2.2,0.29,"1,223",4,0.16,Stuart Armstrong,1,27,0,0.37,13,0.16,0.06,2.2,MF,0.29
23,0.0,0,0.00,0,0.00,Chelsea,es ESP,0,25,0.0,0.00,"2,250",0,0.00,Kepa Arrizabalaga,0,24,0,0.00,25,0.00,0.00,0.0,GK,0.00
24,1.0,0,0.36,2,0.36,Newcastle Utd,gh GHA,0,18,0.2,0.00,742,0,0.03,Christian Atsu,3,27,0,0.36,6,0.03,0.12,0.2,"FW,MF",0.00
25,2.0,1,0.04,3,0.62,Arsenal,ga GAB,1,28,10.6,0.62,"2,483",17,0.43,Pierre-Emerick Aubameyang,1,30,1,0.65,28,0.40,0.08,11.3,FW,0.58
26,2.4,0,0.22,3,0.27,Tottenham,ci CIV,0,25,0.5,0.04,"2,001",1,0.02,Serge Aurier,5,26,1,0.27,23,0.02,0.11,0.5,DF,0.04
27,1.7,0,0.04,6,0.36,Crystal Palace,gh GHA,0,29,5.7,0.33,"2,472",9,0.22,Jordan Ayew,1,27,0,0.36,29,0.22,0.06,5.7,"FW,MF",0.33
28,4.5,0,0.11,0,0.19,Chelsea,es ESP,0,27,2.3,0.07,"2,419",2,0.09,César Azpilicueta,3,29,0,0.19,27,0.09,0.17,2.3,DF,0.07
29,0.0,0,0.00,0,0.00,Manchester Utd,ci CIV,0,3,0.0,0.00,105,0,0.00,Eric Bailly,0,25,0,0.00,1,0.00,0.00,0.0,DF,0.00
30,0.7,0,0.00,0,0.00,Everton,eng ENG,0,5,0.1,0.00,334,0,0.01,Leighton Baines,0,34,0,0.00,3,0.01,0.18,0.1,DF,0.00
31,0.0,0,0.00,2,0.08,West Ham,py PAR,0,13,1.7,0.08,"1,081",1,0.14,Fabián Balbuena,0,27,0,0.08,12,0.14,0.00,1.7,DF,0.08
32,1.8,0,0.10,6,0.17,Sheffield Utd,eng ENG,0,29,0.5,0.07,"2,610",2,0.02,George Baldock,3,26,0,0.17,29,0.02,0.06,0.5,DF,0.07
33,0.3,0,0.07,4,0.07,Burnley,sco SCO,0,14,0.2,0.00,"1,260",0,0.01,Phil Bardsley,1,34,0,0.07,14,0.01,0.02,0.2,DF,0.00
34,2.2,0,0.40,0,0.40,Chelsea,eng ENG,0,13,1.8,0.00,675,0,0.23,Ross Barkley,3,25,0,0.40,8,0.23,0.29,1.8,MF,0.00
35,0.5,1,0.00,4,0.33,Burnley,at AUT,1,19,4.6,0.40,"1,352",6,0.36,Ashley Barnes,0,29,0,0.40,17,0.31,0.03,5.4,FW,0.33
36,2.4,0,0.30,0,0.61,Leicester City,eng ENG,0,28,7.0,0.30,"1,773",6,0.35,Harvey Barnes,6,21,0,0.61,21,0.35,0.12,7.0,MF,0.30
37,0.7,0,0.00,4,0.00,Sheffield Utd,eng ENG,0,29,0.6,0.00,"2,522",0,0.02,Chris Basham,0,31,0,0.00,29,0.02,0.03,0.6,DF,0.00
38,0.0,0,0.00,0,0.00,Aston Villa,es ESP,0,2,0.0,0.00,18,0,0.00,Borja Bastón,0,26,0,0.00,0,0.00,0.00,0.0,"MF,FW",0.00
39,0.2,0,0.38,0,0.75,Chelsea,be BEL,0,16,2.2,0.38,239,1,0.82,Michy Batshuayi,1,25,0,0.75,1,0.82,0.06,2.2,FW,0.38
40,0.1,0,0.00,3,0.04,Southampton,pl POL,0,28,0.8,0.04,"2,517",1,0.03,Jan Bednarek,0,23,0,0.04,28,0.03,0.00,0.8,DF,0.04
41,0.1,0,0.00,2,0.11,Arsenal,es ESP,0,10,0.2,0.11,804,1,0.03,Héctor Bellerín,0,24,0,0.11,9,0.03,0.01,0.2,DF,0.11
42,0.1,0,0.00,2,0.00,Wolves,eng ENG,0,11,0.0,0.00,606,0,0.00,Ryan Bennett,0,29,0,0.00,7,0.00,0.02,0.0,DF,0.00
43,0.1,0,0.00,2,0.00,Newcastle Utd,dz ALG,0,3,0.0,0.00,270,0,0.01,Nabil Bentaleb,0,24,0,0.00,3,0.01,0.05,0.0,MF,0.00
44,2.2,0,0.09,4,0.18,Crystal Palace,be BEL,0,21,3.4,0.09,"1,001",1,0.33,Christian Benteke,1,28,0,0.18,10,0.33,0.21,3.4,FW,0.09
