Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,62,2.23,32,23,3,2,2,5,0.18,3,1,1,0,0,0,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,34.0,53,1.56,41,2,3,3,4,3,0.09,1,1,0,0,1,0,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.1,47,1.95,33,0,6,6,2,10,0.41,4,0,3,2,1,0,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,11.1,22,1.98,14,0,2,2,4,4,0.36,2,0,0,0,2,0,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,2,0.21,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,51,3.16,28,0,9,9,5,8,0.50,4,0,1,2,1,0,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,2,1.29,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,13,0.47,7,0,1,4,1,2,0.07,1,0,0,1,0,0,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,8.8,26,2.94,22,2,1,1,0,5,0.57,5,0,0,0,0,0,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,30.9,19,0.62,18,0,0,1,0,2,0.06,2,0,0,0,0,0,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,34.2,149,4.36,90,49,3,5,1,23,0.67,13,7,0,2,0,1,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,26.3,4,0.15,4,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.4,53,2.60,39,1,9,2,2,12,0.59,5,0,5,2,0,0,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,31.9,76,2.39,57,0,7,5,7,2,0.06,2,0,0,0,0,0,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,13.9,42,3.02,34,3,1,2,2,5,0.36,4,0,0,0,1,0,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,30,2.27,22,0,5,2,1,1,0.08,0,0,0,0,1,0,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,1,0.12,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,57,3.44,44,2,5,3,3,8,0.48,7,0,1,0,0,0,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,1,1.23,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,14,2.98,13,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,18.3,56,3.06,31,1,15,4,5,7,0.38,2,0,2,2,1,0,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,17.7,44,2.48,34,0,4,3,3,7,0.39,4,0,1,2,0,0,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,32.0,1,0.03,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,22,2.64,17,2,2,0,1,3,0.36,2,1,0,0,0,0,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,32.8,53,1.61,37,0,7,4,5,8,0.24,5,0,0,2,1,0,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,28.0,47,1.68,42,2,2,0,0,6,0.21,4,0,1,0,0,1,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,33.0,60,1.82,39,0,10,1,10,7,0.21,3,0,3,0,1,0,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,33.9,76,2.24,69,1,1,2,3,6,0.18,6,0,0,0,0,0,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,1,0.60,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.3,11,2.58,8,2,0,0,1,0,0.00,0,0,0,0,0,0,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,4,0.31,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,36.0,60,1.67,47,4,6,0,3,6,0.17,4,0,1,0,1,0,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,19.0,14,0.74,9,3,0,2,0,0,0.00,0,0,0,0,0,0,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.2,46,3.76,31,1,6,5,3,5,0.41,4,0,0,1,0,0,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,19,1.26,12,0,1,1,5,1,0.07,0,0,0,0,1,0,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,22.0,73,3.31,55,0,8,5,5,15,0.68,12,0,2,1,0,0,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,34.2,22,0.64,19,0,2,0,1,2,0.06,2,0,0,0,0,0,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,7,2.64,5,0,1,1,0,3,1.13,2,0,0,1,0,0,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,13,0.38,11,0,0,1,1,1,0.03,0,0,0,1,0,0,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,14,1.09,11,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.2,2,0.63,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
