Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,32,1987,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,38,1981,2.3,2,0.87,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Lumor Agbenyenu\Lumor-Agbenyenu,gh GHA,DF,Mallorca,22,1996,19.1,31,1.69,21,4,2,1,3,0,0.00,0,0,0,0,0,0,Matches
4,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,23,1996,22.3,20,0.90,16,1,2,0,1,3,0.13,3,0,0,0,0,0,Matches
5,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,23,1995,26.8,13,0.49,9,1,1,2,0,2,0.07,2,0,0,0,0,0,Matches
6,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,30,1989,23.3,43,1.85,42,1,0,0,0,3,0.13,3,0,0,0,0,0,Matches
7,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,33,1985,35.0,16,0.46,16,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
8,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,25,1993,10.3,16,1.56,14,0,0,1,1,3,0.29,2,0,0,0,1,0,Matches
9,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,28,1991,20.4,43,2.11,23,6,5,4,5,3,0.15,3,0,0,0,0,0,Matches
10,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,26,1992,1.2,1,0.83,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
11,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,21,1998,7.4,11,1.50,11,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
12,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,21,1998,1.9,2,1.05,2,0,0,0,0,1,0.52,1,0,0,0,0,0,Matches
13,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,32,1986,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,27,1992,12.3,11,0.93,10,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,24,1995,31.2,17,0.56,16,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches
16,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Leganés,26,1993,7.7,2,0.29,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Amath\Amath,sn SEN,MF,Getafe,23,1996,0.7,1,1.53,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Miguel Ángel Guerrero\Miguel-Angel-Guerrero,es ESP,FW,Leganés,29,1990,8.3,14,1.77,10,0,1,0,3,1,0.13,0,0,0,0,1,0,Matches
19,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,35,1984,12.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,José Ángel\Jose-Angel,es ESP,DF,Eibar,29,1989,25.7,49,1.91,34,10,0,3,2,5,0.19,4,0,0,1,0,0,Matches
21,Antoñito\Antonito,es ESP,DFMF,Valladolid,31,1987,10.4,13,1.33,12,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
