Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,31,1988,30.5,24,0.79,21,0,1,1,1,3,0.10,3,0,0,0,0,0,Matches
2,Bobby Adekanye\Bobby-Adekanye,nl NED,FW,Lazio,20,1999,1.7,4,2.38,2,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
3,Claud Adjapong\Claud-Adjapong,it ITA,DF,Hellas Verona,21,1998,2.6,1,0.39,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Inter,17,2002,0.8,2,2.65,2,0,0,0,0,1,1.32,1,0,0,0,0,0,Matches
5,Kevin Agudelo\Kevin-Agudelo,co COL,MFFW,Genoa,20,1998,7.4,27,3.65,21,0,5,0,1,1,0.14,1,0,0,0,0,0,Matches
6,Kevin Agudelo\Kevin-Agudelo,co COL,FWDF,Fiorentina,20,1998,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MFFW,Hellas Verona,28,1990,2.5,3,1.18,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
8,Ola Aina\Ola-Aina,ng NGA,DF,Torino,22,1996,20.7,43,2.08,25,10,4,0,4,7,0.34,3,2,0,0,2,0,Matches
9,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,26,1992,30.6,174,5.69,118,29,14,10,2,25,0.82,19,2,0,2,1,1,Matches
10,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,31,1988,3.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Allan\Allan,br BRA,MF,Napoli,28,1991,13.0,35,2.70,31,0,4,0,0,2,0.15,2,0,0,0,0,0,Matches
12,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,37,1981,26.9,12,0.45,9,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
13,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Hellas Verona,22,1996,28.5,63,2.21,54,0,5,0,4,5,0.18,4,0,0,0,1,0,Matches
14,Djavan Anderson\Djavan-Anderson,nl NED,MFDF,Lazio,24,1995,0.4,1,2.37,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Lorenzo Andrenacci\Lorenzo-Andrenacci,it ITA,GK,Brescia,24,1995,2.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
16,Peter Ankersen\Peter-Ankersen,dk DEN,DF,Genoa,28,1990,9.4,20,2.13,16,0,3,1,0,1,0.11,1,0,0,0,0,0,Matches
17,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,32,1986,16.1,45,2.80,33,3,5,2,2,7,0.44,5,0,2,0,0,0,Matches
18,Mirko Antonucci\Mirko-Antonucci,it ITA,FWMF,Roma,20,1999,0.9,1,1.10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Guilherme Arana\Guilherme-Arana,br BRA,DF,Atalanta,22,1997,0.9,2,2.25,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
20,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,30,1988,7.1,16,2.25,16,0,0,0,0,3,0.42,3,0,0,0,0,0,Matches
21,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,18,2001,0.4,4,9.00,2,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,22,1997,33.0,2,0.06,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,24,1994,8.6,26,3.02,23,2,1,0,0,2,0.23,2,0,0,0,0,0,Matches
24,Florian Ayé\Florian-Aye,fr FRA,FWMF,Brescia,22,1997,12.1,18,1.48,9,1,3,3,2,0,0.00,0,0,0,0,0,0,Matches
25,Khouma Babacar\Khouma-Babacar,sn SEN,FW,Lecce,26,1993,15.5,45,2.91,27,0,6,5,7,5,0.32,0,0,1,1,3,0,Matches
26,Milan Badelj\Milan-Badelj,hr CRO,MF,Fiorentina,30,1989,16.8,43,2.56,36,2,2,0,3,1,0.06,1,0,0,0,0,0,Matches
27,Marco Ballarini\Marco-Ballarini,it ITA,MF,Udinese,18,2001,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
28,Mario Balotelli\Mario-Balotelli,it ITA,FW,Brescia,28,1990,15.6,33,2.12,17,0,2,8,6,1,0.06,1,0,0,0,0,0,Matches
29,Mattia Bani\Mattia-Bani,it ITA,DF,Bologna,25,1993,24.5,8,0.33,8,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
30,Antonín Barák\Antonin-Barak,cz CZE,MF,Udinese,24,1994,2.2,6,2.78,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Antonín Barák\Antonin-Barak,cz CZE,MF,Lecce,24,1994,10.2,22,2.15,20,0,0,1,1,1,0.10,1,0,0,0,0,0,Matches
32,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,22,1997,18.4,51,2.78,44,0,3,2,2,4,0.22,3,0,0,0,1,0,Matches
33,Antonino Barillà\Antonino-Barilla,it ITA,MF,Parma,31,1988,15.2,16,1.05,11,3,0,0,1,2,0.13,1,0,0,0,0,1,Matches
